"GeneID"	"Description"	"moduleColor"	"GS.expcrtB"	"p.GS.expcrtB"	"GS.Phytoene"	"p.GS.Phytoene"	"MM.green"	"p.MM.green"
"Niben261Chr03g1442007.1"	"Adenine phosphoribosyltransferase"	"green"	0.204149555561422	0.16397859728731	-0.0821038144841828	0.579048074896807	0.873670868460246	5.3779422996987e-16
"Niben261Chr04g1620020.1"	"GDSL esterase/lipase"	"green"	0.224826789607775	0.124457496557762	-0.156426556432002	0.288353464028882	0.855800174990956	9.22544632175131e-15
"Niben261Chr03g0557003.1"	"CCR4-NOT transcription complex subunit like"	"green"	0.22508566964058	0.124012980858899	-0.14439762191563	0.327486313603413	0.832084570472225	2.33845636566411e-13
"Niben261Chr03g0002005.1"	"50S ribosomal protein L11, chloroplastic"	"green"	0.284619597181598	0.0499157231704312	0.085709542528548	0.562435386541037	0.826354027736937	4.73879895784326e-13
"Niben261Chr19g0457006.1"	"Growth-regulating factor 6"	"green"	0.25464146504632	0.0807026142330678	-0.087637140456394	0.553646648456446	0.824282315948381	6.07889919115786e-13
"Niben261Chr13g1340003.1"	"acyltransferase-like protein At1g54570, chloroplastic"	"green"	0.22535052528158	0.123559445316159	-0.0714773872702457	0.629255811882315	0.817336762988798	1.36899171097604e-12
"Niben261Chr10g1274004.1"	"Exonuclease domain-containing protein"	"green"	0.208959303587857	0.15405869835958	-0.102207482773385	0.489400837399278	0.815141390542666	1.75695886861165e-12
"Niben261Chr13g0682007.1"	"Heparanase-2"	"green"	0.210868340590275	0.150246180342332	-0.117215864038728	0.42752766082546	0.81253031996631	2.35392978216872e-12
"Niben261Chr15g1325002.1"	"Delta(24)-sterol reductase"	"green"	0.250010427156862	0.0865656722099275	-0.0798778054231594	0.58941389720858	0.811317388707606	2.69237730102467e-12
"Niben261Chr10g1138004.1"	"Histone H2B"	"green"	0.247612887988737	0.0897289728108449	-0.0675589485031872	0.648213071789145	0.808936770302725	3.49493070527086e-12
