Names	total	elements
		Niben261Chr15g1477001.1
		Niben261Chr05g0671008.1
		Niben261Chr11g1339003.1
		Niben261Chr01g1430002.1
		Niben261Chr06g1171002.1
22h_Down 25h_Down 34h_Down 37h_Down 40h_Down 46h_Down 56h_Down	2	Niben261Chr09g1049006.1
		Niben261Chr01g1463001.1
22h_Down 28h_Down 34h_Down 37h_Down 40h_Down 46h_Down 56h_Down	1	Niben261Chr11g0375002.1
22h_Down 28h_Down 34h_Down 40h_Down 46h_Down 56h_Down 96h_Down	1	Niben261Scf03248g0000008.1
25h_Down 28h_Down 34h_Down 37h_Down 40h_Down 46h_Down 56h_Down	82	Niben261Chr08g0668005.1
		Niben261Chr07g1020004.1
		Niben261Chr15g0702022.1
		Niben261Chr04g0685003.1
		Niben261Chr03g0059002.1
		Niben261Chr07g1158009.1
		Niben261Chr09g1113018.1
		Niben261Chr07g0683004.1
		Niben261Chr01g1652004.1
		Niben261Chr12g1028009.1
		Niben261Chr12g0084003.1
		Niben261Chr16g1429013.1
		Niben261Chr12g0020003.1
		Niben261Chr11g0320003.1
		Niben261Chr11g1368011.1
		Niben261Chr19g1105009.1
		Niben261Chr10g0178016.1
		Niben261Chr18g1388003.1
		Niben261Chr19g0709003.1
		Niben261Chr12g0284004.1
		Niben261Chr15g1512010.1
		Niben261Chr12g0579007.1
		Niben261Chr09g1113002.1
		Niben261Chr14g0635005.1
		Niben261Chr12g1315001.1
		Niben261Chr13g1143001.1
		Niben261Scf13210g0000001.1
		Niben261Chr17g0161003.1
		Niben261Chr11g0888007.1
		Niben261Chr12g0719006.1
		Niben261Chr17g0022005.1
		Niben261Chr08g0520018.1
		Niben261Chr19g0094021.1
		Niben261Chr04g0418026.1
		Niben261Chr03g0183006.1
		Niben261Chr03g0209001.1
		Niben261Chr07g0724002.1
		Niben261Chr06g0316005.1
		Niben261Chr10g1096040.1
		Niben261Chr14g0607006.1
		Niben261Chr13g1429005.1
		Niben261Chr08g0181020.1
		Niben261Chr13g0733024.1
		Niben261Chr13g0726008.1
		Niben261Chr17g0634017.1
		Niben261Chr16g0350012.1
		Niben261Chr04g0266004.1
		Niben261Chr05g0690005.1
		Niben261Chr15g1380006.1
		Niben261Chr10g1120003.1
		Niben261Chr09g0996004.1
		Niben261Chr14g0436005.1
		Niben261Chr03g0023040.1
		Niben261Chr01g0911003.1
		Niben261Chr19g1350017.1
		Niben261Chr06g0903016.1
		Niben261Chr04g0471002.1
		Niben261Chr19g1137015.1
		Niben261Chr12g1569020.1
		Niben261Chr01g0714004.1
		Niben261Chr02g0948003.1
		Niben261Chr08g0138004.1
		Niben261Chr06g0899007.1
		Niben261Chr03g0053016.1
		Niben261Chr09g1006014.1
		Niben261Chr07g1444001.1
		Niben261Chr03g0059001.1
		Niben261Chr15g1045008.1
		Niben261Chr02g1039019.1
		Niben261Chr08g0309009.1
		Niben261Chr09g1195001.1
		Niben261Chr04g1769004.1
		Niben261Chr16g0398018.1
		Niben261Chr07g0121010.1
		Niben261Chr16g0473003.1
		Niben261Chr12g0320008.1
		Niben261Chr04g0551001.1
		Niben261Chr19g0919004.1
		Niben261Chr04g1789009.1
		Niben261Chr04g0406001.1
		Niben261Chr03g1806007.1
		Niben261Chr12g0605009.1
22h_Down 25h_Down 28h_Down 34h_Down 37h_Down 40h_Down	5	Niben261Chr16g0160005.1
		Niben261Chr05g0688002.1
		Niben261Chr11g1375013.1
		Niben261Chr14g0908006.1
		Niben261Chr06g0182022.1
22h_Down 25h_Down 28h_Down 34h_Down 37h_Down 56h_Down	1	Niben261Chr17g1530002.1
22h_Down 25h_Down 28h_Down 34h_Down 37h_Down 96h_Down	4	Niben261Chr06g1087003.1
		Niben261Chr05g0171002.1
		Niben261Chr17g0171009.1
		Niben261Chr11g0689017.1
22h_Down 25h_Down 28h_Down 34h_Down 40h_Down 46h_Down	7	Niben261Chr09g0872017.1
		Niben261Chr17g0244001.1
		Niben261Chr15g1115005.1
		Niben261Chr03g0191005.1
		Niben261Chr08g0080009.1
		Niben261Chr04g0615002.1
		Niben261Chr18g0557014.1
22h_Down 25h_Down 28h_Down 34h_Down 40h_Down 56h_Down	3	Niben261Chr15g1246003.1
		Niben261Chr19g1275005.1
		Niben261Scf04838g0000001.1
22h_Down 25h_Down 28h_Down 34h_Down 40h_Down 96h_Down	1	Niben261Chr11g1324008.1
22h_Down 25h_Down 28h_Down 34h_Down 46h_Down 56h_Down	2	Niben261Chr01g1439001.1
		Niben261Chr02g1094002.1
22h_Down 25h_Down 28h_Down 37h_Down 40h_Down 46h_Down	1	Niben261Chr02g1037003.1
22h_Down 25h_Down 28h_Down 40h_Down 46h_Down 56h_Down	4	Niben261Chr16g0807012.1
		Niben261Chr15g1423025.1
		Niben261Chr19g0041004.1
		Niben261Chr14g0586007.1
22h_Down 25h_Down 28h_Down 40h_Down 46h_Down 96h_Down	1	Niben261Chr07g0000008.1
22h_Down 25h_Down 28h_Down 40h_Down 56h_Down 96h_Down	2	Niben261Chr03g1469008.1
