Names	total	elements
22h_Up 25h_Up 28h_Up 34h_Up 37h_Up 40h_Up 46h_Up 56h_Up	1	Niben261Chr15g0891005.1
22h_Up 25h_Up 34h_Up 37h_Up 40h_Up 46h_Up 56h_Up 96h_Up	1	PaancrtB:mRNA
25h_Up 28h_Up 34h_Up 37h_Up 40h_Up 46h_Up 56h_Up 96h_Up	2	Niben261Chr10g1185008.1
		Niben261Chr16g0181011.1
22h_Up 25h_Up 28h_Up 34h_Up 37h_Up 40h_Up 46h_Up	1	Niben261Chr10g1199005.1
22h_Up 25h_Up 28h_Up 34h_Up 40h_Up 46h_Up 56h_Up	1	Niben261Chr19g0152003.1
25h_Up 28h_Up 34h_Up 37h_Up 40h_Up 46h_Up 56h_Up	25	Niben261Chr01g1363012.1
		Niben261Chr10g0135007.1
		Niben261Chr06g0433008.1
		Niben261Chr02g1280010.1
		Niben261Chr18g0639004.1
		Niben261Chr12g0194004.1
		Niben261Chr10g0129001.1
		Niben261Chr08g0344008.1
		Niben261Chr11g0426024.1
		Niben261Chr03g0822044.1
		Niben261Chr04g1336004.1
		Niben261Chr04g0223004.1
		Niben261Chr02g0084019.1
		Niben261Chr02g0315004.1
		Niben261Chr02g0230006.1
		Niben261Chr02g0093002.1
		Niben261Chr08g0313003.1
		Niben261Chr12g0492008.1
		Niben261Chr17g1535045.1
		Niben261Chr15g0964005.1
		Niben261Chr10g0129002.1
		Niben261Chr16g0430012.1
		Niben261Chr09g1038015.1
		Niben261Chr07g0086001.1
		Niben261Chr08g0313002.1
25h_Up 28h_Up 34h_Up 37h_Up 40h_Up 46h_Up 96h_Up	1	Niben261Chr13g1132013.1
25h_Up 28h_Up 34h_Up 40h_Up 46h_Up 56h_Up 96h_Up	3	Niben261Chr06g0068005.1
		Niben261Chr08g0466006.1
		Niben261Chr15g0661009.1
25h_Up 34h_Up 37h_Up 40h_Up 46h_Up 56h_Up 96h_Up	1	Niben261Chr08g0238007.1
28h_Up 34h_Up 37h_Up 40h_Up 46h_Up 56h_Up 96h_Up	3	Niben261Chr15g1170010.1
		Niben261Chr01g1772004.1
		Niben261Chr12g0049014.1
