GFP22h1	GFP22h2	GFP22h3	GFP25h1	GFP25h2	GFP25h3	GFP28h1	GFP28h2	GFP28h3	GFP34h1	GFP34h2	GFP34h3	GFP37h1	GFP37h2	GFP37h3	GFP40h1	GFP40h2	GFP40h3	GFP46h1	GFP46h2	GFP46h3	GFP56h1	GFP56h2	GFP56h3	pcrtB22h1	pcrtB22h2	pcrtB22h3	pcrtB25h1	pcrtB25h2	pcrtB25h3	pcrtB28h1	pcrtB28h2	pcrtB28h3	pcrtB34h1	pcrtB34h2	pcrtB34h3	pcrtB37h1	pcrtB37h2	pcrtB37h3	pcrtB40h1	pcrtB40h2	pcrtB40h3	pcrtB46h1	pcrtB46h2	pcrtB46h3	pcrtB56h1	pcrtB56h2	pcrtB56h3
Niben261Chr01g0076002.1	1.339495	2.207262	2.943463	4.26654	2.904322	2.189588	5.011741	4.820906	2.740581	10.801234	10.639437	14.827864	13.516461	11.049655	9.702595	10.223305	5.972135	4.683207	4.976271	4.384587	5.082459	7.928388	8.201831	5.051314	1.422874	1.208034	2.468901	2.057292	2.445032	1.515248	1.539847	1.681979	1.46225	11.85847	18.563971	18.594309	27.667639	9.547758	17.203208	9.855993	8.533055	11.795335	9.372242	9.265254	9.972602	28.690424	24.83301	28.996846
Niben261Chr01g0092007.1	15.091065	17.800402	15.352512	14.130055	13.982729	13.921058	13.230059	11.733464	7.95078	20.150004	21.905496	18.090513	23.199515	25.731845	26.334839	29.231573	36.289109	32.058278	26.637044	22.986929	22.361485	15.173366	16.695762	15.609912	13.283024	16.071884	11.639582	13.919643	14.380266	11.690617	8.460704	10.32092	11.046774	16.26206	19.243605	22.959087	28.048009	21.951281	24.914214	31.276532	41.883587	34.08959	24.103407	24.432995	25.197433	24.333864	22.029913	26.389677
Niben261Chr01g0095015.1	4.954448	6.817965	4.767759	8.278996	6.714825	5.814896	7.026344	6.301051	5.41643	10.434734	12.482531	10.310912	12.346925	10.617638	10.480275	9.097511	11.087743	11.648107	8.595017	8.840174	7.93989	9.266816	8.175166	8.131319	4.274872	5.992695	4.379494	6.743449	5.57777	5.02733	5.394075	5.244611	5.292603	10.122856	11.210462	10.560932	16.756032	9.879024	13.661389	12.266706	14.736986	15.172189	12.598636	10.506136	13.821265	16.300601	15.195085	16.49291
Niben261Chr01g0100004.1	0.524111	0.763402	0.613004	0.533128	0.824195	1.285098	0.99557	0.834743	0.780587	2.290508	1.807597	1.379882	1.38147	1.508639	1.527814	1.824943	1.066075	0.800927	0.650345	2.006014	0.994321	1.286081	2.185295	0.611466	0	0.632361	0.234402	0.520862	0.535093	0.413345	0.389856	1.266875	1.110629	2.355656	2.183057	4.092466	3.292599	1.967258	1.615486	0.482051	1.124281	1.359843	1.344613	1.212504	2.585685	3.286658	3.947347	4.18335
Niben261Chr01g0144008.1	0.747001	1.080125	1.877844	2.155029	1.97665	2.027925	3.154064	2.636059	2.775718	3.316872	3.420936	3.282802	2.9098	2.710075	2.550702	1.230931	1.114742	1.499233	2.001621	1.423256	1.572486	2.817345	3.135789	3.626224	0.520989	0.557492	0.967432	1.493292	1.167665	1.703263	1.561509	3.015816	1.670128	2.620686	3.785879	2.910224	3.425882	1.993938	2.495178	1.138611	1.104692	1.200349	3.112539	2.211877	2.196881	4.26959	4.215714	3.768097
Niben261Chr01g0161003.1	2.789361	3.853065	3.767905	5.221789	3.953962	3.30731	3.20895	4.576645	2.886587	2.785254	3.306085	2.715152	5.522846	3.424883	3.075764	3.009502	3.036644	3.812319	3.509932	3.040784	2.944057	1.966623	1.486865	2.108398	1.782212	2.528055	2.740997	5.973605	3.088463	2.623302	3.097651	4.395452	3.538186	4.149563	4.941908	3.476686	5.347535	4.423899	3.027373	2.27644	3.539541	3.698683	8.788943	4.756467	5.388193	5.068059	4.779736	5.291645
Niben261Chr01g0164008.1	5.097814	7.54977	6.515219	7.679452	6.223303	5.440548	7.106349	6.938874	4.417015	8.94234	11.589778	8.783721	14.08668	9.251489	9.559951	7.980197	8.185362	9.613075	4.568224	3.541362	4.60366	3.193152	3.312228	3.197249	4.785802	4.810176	3.811922	8.020994	3.713382	3.779105	5.28917	5.339493	4.09909	9.864522	14.377915	13.288945	26.895663	12.289017	17.165321	7.478245	9.624317	12.891333	11.650226	6.386443	7.162148	10.323065	7.239985	9.878811
Niben261Chr01g0167002.1	0	0.19653	0.157994	0.459941	0.613933	0.070138	0.360622	0.293219	0.543843	0.489151	0.671901	0.591643	0.88312	0.409888	0.769836	0.443182	0.626895	0.698645	0.795287	0.991817	0.964742	0.732575	0.756066	1.479586	0.20961	0.091603	0.085847	0.258826	0.439728	0.227139	0.262289	0.15448	0.300173	0.958343	0.74311	0.679065	1.066309	0.912326	1.156202	0.625494	0.665334	0.943615	1.129788	1.294582	1.643943	1.608447	2.346436	2.062176
Niben261Chr01g0170002.1	25.840153	32.825022	33.892326	53.852972	48.588366	40.92907	48.966386	53.968613	31.41391	73.879103	96.240758	79.707018	96.897645	97.720873	79.95794	82.301955	81.186805	69.488505	69.570694	65.823773	72.229849	55.067026	50.668167	49.752207	21.070141	21.010028	22.194518	44.449003	35.817381	25.980336	36.017805	40.638766	34.852771	57.981484	79.836581	84.871491	114.879396	63.41753	93.409556	95.741536	81.161625	89.018161	80.275786	66.602522	75.517822	79.630674	76.228504	78.512501
Niben261Chr01g0210011.1	113.189899	123.691883	96.840357	220.775117	164.966834	155.580969	229.858897	193.670234	196.024531	336.437447	350.07039	322.447728	329.869506	261.230719	326.111037	224.925718	172.951159	196.727646	192.76749	173.719195	222.943066	323.5463	291.074859	324.177307	61.917481	62.600985	64.033914	114.726647	115.662316	114.424759	138.894162	195.828699	120.079939	350.458332	399.390957	321.441001	378.838108	272.74069	387.612725	276.053353	256.652718	276.892144	240.564663	239.52966	306.492876	430.534841	351.768828	434.017324
Niben261Chr01g0213005.1	5.314127	7.745366	4.833384	6.571041	6.776508	5.465999	7.087445	6.234021	8.117987	11.025356	12.566785	9.412663	9.791397	9.587291	8.737606	8.811465	8.947519	9.185445	8.262971	7.658372	7.530462	10.31114	8.749434	10.604305	5.743305	6.620188	5.046693	7.338627	5.341286	5.385858	4.414075	4.34167	4.253317	8.980581	11.905125	7.227638	12.582969	6.547088	10.801316	8.821198	10.566272	9.700367	10.317359	8.557959	8.248827	14.353378	13.498108	13.124516
Niben261Chr01g0216003.1	15.210563	25.284436	22.614879	17.657598	16.216588	14.960394	23.506213	19.357007	25.341661	63.344582	55.126811	72.626565	34.882743	45.797379	62.054026	120.587629	40.553097	33.093431	6.142066	6.359004	7.091925	30.61846	26.790535	32.283187	11.695164	10.368443	9.454635	13.579002	13.028782	9.488326	10.163645	16.380354	15.02351	140.495752	110.604274	87.903222	99.605566	105.799478	102.50914	173.806729	84.944604	70.90294	42.329885	45.129198	51.38385	144.80836	171.165484	145.586231
Niben261Chr01g0269006.1	39.483912	56.10929	43.74978	56.388126	73.813747	44.49102	88.171445	68.536647	63.485179	101.116674	125.930442	117.718048	123.077531	123.680122	135.987453	115.403317	117.187911	78.991335	99.172442	117.719537	83.379107	147.090311	147.566489	147.838818	38.711388	40.79732	35.714777	64.818887	59.159197	47.487882	79.051891	85.429121	90.690357	130.57586	153.639515	143.172286	189.756896	147.545498	150.551013	170.885649	159.018528	124.426538	135.822457	98.942188	130.145472	169.734648	180.853058	202.3496
Niben261Chr01g0280001.1	7.535411	7.009088	8.578599	10.169846	8.265349	8.38427	8.128211	8.41704	6.56596	9.582148	9.702132	8.922692	8.563841	10.261436	9.33547	8.256068	6.197697	7.638001	9.233574	9.722291	9.467609	9.515638	9.876106	8.915802	5.168224	6.076868	8.217407	10.324594	7.453447	7.734203	8.42207	6.920776	8.254195	9.941565	12.410593	11.108483	11.167057	7.833003	10.778711	8.610879	10.191778	11.329432	12.298713	12.13974	13.109829	12.934505	12.024872	12.965026
Niben261Chr01g0281008.1	0.626916	0.899061	1.049252	1.578275	1.322459	1.30544	1.401955	1.133996	0.948431	1.67868	1.669874	2.173849	1.575065	2.072461	2.251362	1.809416	1.633588	1.889441	1.62224	1.882537	1.603453	1.950161	2.189547	1.808474	0.768805	0.724319	0.490206	1.413193	1.138925	0.764158	0.727208	0.795454	0.607489	1.53215	1.60734	1.966364	2.220041	1.583551	1.530029	1.985908	2.354351	1.931244	1.565017	2.23098	2.637492	2.354017	2.984994	3.786523
Niben261Chr01g0287015.1	41.513981	56.623651	61.443676	81.295252	80.958503	69.064669	65.989021	113.664457	65.333389	141.395437	197.315883	156.238848	200.770914	156.265471	148.696615	142.66827	90.347971	156.564676	85.207477	55.81585	69.123473	74.095557	73.945507	66.108988	21.684623	28.156137	28.534503	65.471505	54.517525	53.07534	49.615416	80.122125	52.637154	132.519683	186.196292	204.074838	270.862822	167.57294	219.958069	140.567056	134.551464	143.599449	88.184533	55.558303	87.080941	103.314431	61.228036	98.461645
Niben261Chr01g0304001.1	2.841073	4.868065	2.014075	15.879789	7.681763	11.643784	21.65569	15.996006	6.706935	29.84431	36.06114	39.46312	41.078265	41.526131	51.420678	32.067322	26.698986	25.072845	28.489419	23.656755	24.479853	22.21749	26.30599	26.124145	1.186309	0.917519	1.379232	4.719575	5.492852	3.851953	8.227721	8.170422	7.63989	36.297006	50.549006	52.510847	66.21727	38.806556	77.214362	48.344823	34.746623	43.288357	20.252844	27.753634	36.84554	38.169337	33.914422	44.034489
Niben261Chr01g0307011.1	3.754077	3.061569	2.415385	4.7438	4.922434	2.690306	3.526543	3.079806	3.060901	6.8273	7.215949	5.822063	7.803243	6.682094	6.682377	7.364949	6.539998	6.225854	8.326806	6.765275	8.513367	7.799948	9.276402	7.524255	2.11579	1.640956	2.062877	2.834891	3.78815	2.742101	2.820421	3.552786	3.372679	7.727881	7.731139	7.99756	7.991777	5.97123	7.670208	8.271965	9.776624	8.19436	6.879769	7.346702	9.693602	10.116499	8.440755	11.281886
Niben261Chr01g0348004.1	2.680893	3.336327	1.707618	8.437342	5.388968	5.735749	8.179032	7.762652	5.022947	6.154632	8.390623	8.531245	19.763539	10.17613	13.963744	7.095311	5.811551	10.8213	11.558098	10.364827	11.039457	6.392658	6.982744	9.307391	1.839487	1.814691	1.859788	9.769613	6.858162	7.755991	27.055485	11.336687	25.130044	19.036693	38.572061	33.072101	49.279383	33.013133	33.554551	27.953771	33.354312	40.285762	44.512315	28.923564	37.595513	30.318873	18.915063	31.542638
Niben261Chr01g0354004.1	24.010793	25.702024	25.657392	38.608262	34.743267	28.297816	33.366588	31.297779	22.50734	38.23024	45.615358	42.051301	50.663897	47.066734	45.291262	39.051882	36.320552	33.904237	42.512732	41.574098	36.137786	32.969049	36.126022	34.567907	20.425572	22.10499	22.831638	34.587394	29.829307	21.374686	24.046054	22.701751	27.283065	49.833966	57.250035	61.439579	72.191414	51.620959	61.702589	42.453946	44.132737	50.6004	60.88928	56.173777	54.990982	55.378953	49.202073	50.175194
Niben261Chr01g0391006.1	4.639508	4.438932	3.03838	4.876444	5.545689	3.640278	4.406417	3.786237	6.817737	9.912661	10.458375	8.79451	9.594351	8.394203	9.85351	12.492518	12.961484	9.46552	10.592533	8.951815	14.435059	17.810399	14.739598	23.436519	3.061345	5.224056	3.237857	7.931817	3.599746	5.441324	4.969503	3.668703	4.129102	10.42768	8.966562	12.987655	19.401344	8.513727	13.013318	16.290369	14.65041	13.946971	11.262484	8.014057	9.52176	18.786297	10.966406	11.294159
