Description	pcrtB22h_vs_GFP22h_filtered	pcrtB25h_vs_GFP25h_filtered	pcrtBAA_vs_GFPAA_filtered	pcrtBBB_vs_GFPBB_filtered	pcrtBYY_vs_GFPYY_filtered	pcrtB28h_vs_GFP28h_filtered	pcrtB34h_vs_GFP34h_filtered	pcrtB37h_vs_GFP37h_filtered	pcrtBZZ_vs_GFPZZ_filtered	pcrtBCC_vs_GFPCC_filtered	pcrtB40h_vs_GFP40h_filtered	pcrtBDD_vs_GFPDD_filtered	pcrtB46h_vs_GFP46h_filtered	pcrtB56h_vs_GFP56h_filtered	pcrtBEE_vs_GFPEE_filtered	pcrtB96h_vs_GFP96h_filtered
Niben261Chr01g1103008.1	40S ribosomal protein S7"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.829145784694892
Niben261Chr01g1691003.1	60S ribosomal protein L23a-like"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.613053363793901	0.735471648995436	0.752375069330426	0.725694581215517
Niben261Chr04g1709001.1	40S ribosomal protein S7"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.675814318661762
Niben261Chr05g0770008.1	60S ribosomal protein L24"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr06g0812001.1	rRNA 2'-O-methyltransferase fibrillarin 2-like protein"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.611618695398162	0.853181138047426	0.786655447374433	0.704120501190999
Niben261Chr06g0903015.1	40S ribosomal protein S13"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr08g0338002.1	40S ribosomal protein S3a"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr08g0467007.1	rRNA 2'-O-methyltransferase fibrillarin"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr09g0125004.1	40s ribosomal protein s15"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.696171255027007
Niben261Chr09g0821019.1	60S ribosomal protein L3"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr09g1196005.1	40S ribosomal protein S13"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.654024434161322	0.817707242360098	0.782898449517867	NA
Niben261Chr10g0186005.1	Ubiquitin-40S ribosomal protein S27a"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr10g1018014.1	40S ribosomal protein SA"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.591352130821811
Niben261Chr13g0166001.1	nascent polypeptide-associated complex subunit alpha-like protein"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.855897164016986
Niben261Chr13g1054014.1	ERBB-3 BINDING PROTEIN 1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.734277321716029	NA	NA
Niben261Chr13g1120003.1	40S ribosomal protein SA"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.596559978577334
Niben261Chr14g0391011.1	40S ribosomal protein S18"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr15g1419040.1	Elongation factor 1-alpha"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr15g1526018.1	Ubiquitin-40S ribosomal protein S27a"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr16g0887004.1	Ribonucloprotein"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr16g1288015.1	Ribonucloprotein"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.689783846008946	0.665468373977289	NA
Niben261Chr17g0154001.1	Ribonucloprotein"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.760923031382124	0.61869551559548	0.725504829360069	0.652650688950306
Niben261Chr19g0858002.1	PB1 domain-containing protein"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.682198449094876	NA	NA	-1.04979606962093	-0.776158494378704	-1.42259312503594
Niben261Chr19g1399009.1	60S ribosomal protein L6-like"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.661422688128027	0.731468723074481	0.797255514264003	NA
