Description	pcrtB22h_vs_GFP22h_filtered	pcrtB25h_vs_GFP25h_filtered	pcrtBAA_vs_GFPAA_filtered	pcrtBBB_vs_GFPBB_filtered	pcrtBYY_vs_GFPYY_filtered	pcrtB28h_vs_GFP28h_filtered	pcrtB34h_vs_GFP34h_filtered	pcrtB37h_vs_GFP37h_filtered	pcrtBZZ_vs_GFPZZ_filtered	pcrtBCC_vs_GFPCC_filtered	pcrtB40h_vs_GFP40h_filtered	pcrtBDD_vs_GFPDD_filtered	pcrtB46h_vs_GFP46h_filtered	pcrtB56h_vs_GFP56h_filtered	pcrtBEE_vs_GFPEE_filtered	pcrtB96h_vs_GFP96h_filtered
Niben261Chr01g1155013.1	14 kDa proline-rich protein DC2.15"	-0.813956373792421	NA	NA	NA	NA	NA	-1.45063268432563	NA	-1.48344171832066	NA	-1.48642144926756	NA	-1.26983316581839	NA	NA	NA
Niben261Chr02g1423002.1	purine permease 1-like"	-1.61838496156547	-1.14425168280184	-1.30723625439555	-1.90781744494053	-1.55019034645874	-1.94240982136711	-0.957905250769175	-0.92644402112288	-0.777684350947738	NA	NA	NA	NA	0.752754763560089	NA	NA
Niben261Chr03g0084001.1	Osmotin-like protein"	-3.34606404971787	-2.59584116185575	NA	-2.24131339927999	-2.30134848262771	NA	NA	-2.0096868253434	-1.54021990590306	NA	NA	NA	NA	1.70422610123342	NA	NA
Niben261Chr03g0122017.1	14 kDa proline-rich protein DC2.15"	NA	NA	NA	-0.638012402962872	NA	NA	-0.840447882298362	NA	NA	NA	-0.960703349480479	NA	NA	1.62801848332628	NA	NA
Niben261Chr04g0357001.1	protein DMR6-LIKE OXYGENASE 2-like"	-1.21852093410372	NA	NA	NA	NA	NA	-0.920584897771302	-1.15483294124783	-0.915317933785344	NA	NA	NA	NA	0.991987572648502	NA	NA
Niben261Chr06g1174004.1	expansin-like B1"	-0.946407545608752	-1.11568629901449	-1.0237939087128	-1.16111552587112	-1.13773884193435	-1.51593903547204	-0.754163805610594	NA	NA	NA	NA	NA	NA	0.735664729477001	NA	NA
Niben261Chr10g0997002.1	Pyruvate dehydrogenase E1 component subunit beta"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr11g0963003.1	Peroxidase"	-1.46486350586859	NA	-1.10423647587363	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.868529823433021	NA	NA
Niben261Chr14g0717005.1	dihydrofolate reductase-like isoform X1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.740204419993736	NA	NA
Niben261Chr18g0314004.1	Purple acid phosphatase"	-1.14266826682142	NA	NA	NA	NA	NA	-0.743792173201037	-0.701748153368086	NA	NA	NA	NA	NA	NA	NA	NA
