GOterm	Event2_Down
protein autophosphorylation	GO:0046777
protein quality control for misfolded or incompletely synthesized proteins	GO:0006515
farnesyl diphosphate biosynthetic process, mevalonate pathway	GO:0010142
xenobiotic transport	GO:0042908
defense response to bacterium	GO:0042742
positive regulation of peptidase activity	GO:0010952
(1->3)-beta-D-glucan biosynthetic process	GO:0006075
trehalose biosynthetic process	GO:0005992
NA	NA
meiotic mismatch repair involved in reciprocal meiotic recombination	GO:0010777
threonyl-tRNA aminoacylation	GO:0006435
regulation of proton transport	GO:0010155
plant-type hypersensitive response	GO:0009626
SNARE complex disassembly	GO:0035494
ATP transport	GO:0015867
sulfate reduction	GO:0019419
