Names	total	elements
		GO:0046854
		GO:0006021
		GO:0006857
		GO:0009641
		GO:0009640
22h_Down	19	GO:0019430
		GO:0080142
		GO:0009694
		GO:0048268
		GO:0048278
		GO:0007186
		GO:0046513
		GO:0006527
		GO:0046470
		GO:0009058
		GO:0006355
		GO:0006096
		GO:0007188
		GO:0050790
		GO:0022900
		GO:0031204
		GO:0006102
		GO:0006694
		GO:0032502
25h_Down	27	GO:0010118
		GO:0008360
		GO:0045792
		GO:0009800
		GO:0034721
		GO:0006654
		GO:0010167
		GO:0033674
		GO:0019427
		GO:0015937
		GO:0009737
		GO:0046951
		GO:0010252
		GO:0006552
		GO:1902198
		GO:0002183
		GO:0009620
		GO:0010200
		GO:0030242
		GO:0010508
		GO:0048281
		GO:0034755
		GO:1902196
		GO:0033617
		GO:0010133
		GO:0009423
		GO:0009698
28h_Down	19	GO:0042273
		GO:0002238
		GO:0070291
		GO:0019441
		GO:0009738
		GO:0006741
		GO:0015916
		GO:0008654
		GO:0032367
		GO:0006295
		GO:0045324
		GO:0036148
		GO:0006364
		GO:0042254
		GO:0032515
		GO:0001731
		GO:1900150
		GO:0019375
		GO:0046488
34h_Down	13	GO:0001878
		GO:0006006
		GO:0070086
		GO:0061635
		GO:0031623
		GO:0050803
		GO:0043085
		GO:0033384
		GO:0051260
		GO:0048205
		GO:0003374
		GO:0000103
		GO:0016135
37h_Down	4	GO:0006821
		GO:0009435
		GO:0010582
		GO:0045859
40h_Down	17	GO:0046710
		GO:0097054
		GO:0009873
		GO:0006970
		GO:0034097
		GO:0071472
		GO:0008612
		GO:0045761
		GO:0016095
		GO:0015741
		GO:0046037
		GO:0006783
		GO:0032958
		GO:0019249
		GO:0052865
		GO:0019676
		GO:0015744
46h_Down	31	GO:0042325
		GO:0048366
		GO:0015854
		GO:0016226
		GO:0090351
		GO:0006562
		GO:0006809
		GO:0010099
		GO:0071586
		GO:1903424
		GO:0015977
		GO:0120029
		GO:0090677
		GO:0018106
		GO:0043666
		GO:0046656
		GO:0006470
		GO:0051382
		GO:0042594
		GO:2000022
		GO:0006559
		GO:0006567
		GO:0030150
		GO:1901006
		GO:0051453
		GO:0032957
		GO:0046283
		GO:0072488
		GO:0016579
		GO:0046654
		GO:0015853
56h_Down	67	GO:1902811
		GO:2000082
		GO:0060178
		GO:0080167
		GO:0045663
		GO:0005975
		GO:0000165
		GO:0071171
		GO:0015698
		GO:0030001
		GO:0042814
		GO:0051156
		GO:0009734
		GO:0044209
		GO:0120188
		GO:1904486
		GO:0009308
		GO:0009416
		GO:2000142
		GO:0046838
		GO:1904668
		GO:0005983
		GO:0007165
		GO:0015995
		GO:0015689
		GO:0015721
		GO:1905870
		GO:0006542
		GO:0007018
		GO:0030245
		GO:0010477
		GO:1902979
		GO:0030244
		GO:0043622
		GO:0006116
		GO:0009664
		GO:0048768
		GO:0034059
		GO:0006283
		GO:0034976
		GO:2000601
		GO:2000738
		GO:0009765
		GO:0007010
		GO:2000766
		GO:1905786
		GO:0005977
		GO:0007017
		GO:0015768
		GO:0061158
		GO:0038183
		GO:0009414
		GO:0009860
		GO:0009228
		GO:0006633
		GO:0006004
		GO:0009768
		GO:0006168
		GO:0045471
		GO:0050482
		GO:0051017
		GO:0016540
		GO:0010143
		GO:0006166
		GO:0140021
		GO:1990575
		GO:1990544
