Names	total	elements
		GO:0045489
		GO:0090158
		GO:0019264
		GO:2000067
		GO:0030259
		GO:0048229
		GO:0032259
		GO:0018401
		GO:0009901
		GO:0018106
		GO:0010315
		GO:1905392
		GO:0006493
		GO:0071805
		GO:0033353
		GO:0006597
		GO:0072593
		GO:0051592
		GO:0015936
		GO:1905582
		GO:0048868
		GO:0000032
		GO:0006555
		GO:0030244
		GO:0006116
		GO:0061817
		GO:0042262
		GO:0009785
		GO:0035434
		GO:0070814
		GO:0009094
		GO:0051560
		GO:0019805
		GO:0048467
		GO:0033388
		GO:0009051
		GO:0072699
		GO:0035999
		GO:0055069
		GO:0009414
		GO:0046940
		GO:0006004
		GO:0043434
		GO:0006556
		GO:0006526
		GO:0033566
		GO:0019305
		GO:0009991
		GO:0006730
		GO:0010193
		GO:0006357
34h_Up	7	GO:0060918
		GO:0016102
		GO:0010252
		GO:0006096
		GO:0006334
		GO:0009835
		GO:0000272
37h_Up	13	GO:0010439
		GO:0002221
		GO:0019344
		GO:0051603
		GO:0009862
		GO:2000582
		GO:0010438
		GO:0090110
		GO:0055072
		GO:0120009
		GO:0006792
		GO:0006457
		GO:1901031
40h_Up	14	GO:0006949
		GO:0010121
		GO:0006809
		GO:0005986
		GO:0042128
		GO:0016539
		GO:0046256
		GO:0055129
		GO:0006813
		GO:1902358
		GO:0036071
		GO:0019544
		GO:0006631
		GO:1990575
46h_Up	48	GO:0032544
		GO:0006006
		GO:0008152
		GO:0009938
		GO:0009643
		GO:0009867
		GO:0034414
		GO:0006741
		GO:0000154
		GO:0030091
		GO:1902977
		GO:0009694
		GO:0042218
		GO:0045337
		GO:0001522
		GO:0000413
		GO:0010157
		GO:0000493
		GO:0070919
		GO:0010206
		GO:0009863
		GO:0006782
		GO:0035264
		GO:0009658
		GO:0042538
		GO:0009696
		GO:0019752
		GO:0007166
		GO:1904263
		GO:0009408
		GO:0010508
		GO:0018160
		GO:0050860
		GO:0042939
		GO:0031425
		GO:0045900
		GO:0043984
		GO:0031120
		GO:0051391
		GO:0007154
		GO:0018026
		GO:2000033
		GO:0034599
		GO:0006412
		GO:0009723
		GO:0009704
		GO:0010187
		GO:0031938
56h_Up	52	GO:0046710
		GO:0007205
		GO:0055062
		GO:0019430
		GO:0009751
		GO:0006904
		GO:0010264
		GO:0009407
		GO:0006177
		GO:0016036
		GO:0006409
		GO:0001676
		GO:1902074
		GO:0070407
		GO:0000422
		GO:0010266
		GO:0030198
		GO:0006515
		GO:0006044
		GO:0005987
		GO:0043048
		GO:0006538
		GO:0015692
		GO:0006355
		GO:0035335
		GO:0006470
		GO:0015031
		GO:0006559
		GO:0006364
		GO:0034727
		GO:0009625
		GO:0009439
		GO:0009753
		GO:0031204
		GO:0098755
		GO:0005992
		GO:0006694
		GO:0071284
		GO:1900150
		GO:0006435
		GO:0019375
		GO:0006487
		GO:0046037
		GO:0006616
		GO:0080186
		GO:0006303
		GO:0019287
		GO:1902584
		GO:0006071
		GO:0016311
		GO:0051131
		GO:0006012
