GeneID	Name
AT4G11260	ATSGT1B
AT5G65490	ATSGT1A
AT5G41770	CRN1
AT5G45990	CRN2
AT3G13210	CRN3
AT3G51110	CRN4
AT5G53400	NudC1
AT4G27890	NudC2
AT5G58740	NudC3
AT3G17970	Toc64
AT4G21810	DER2.1
AT4G04860	DER2.2
AT4G29330	DER1
AT4G02450	P23
AT3G12050	Aha1
AT3G07370	CHIP
AT4G22670	Hip1
AT3G17880	Hip2
AT1G62740	Hop1
AT4G12400	Hop2
AT1G12270	Hop3
AT2G42810	PP5.2
AT1G04130	TTC4
AT5G51700	RAR1
AT1G04190	STIP1
