ID	Name
AT5G67030	ABA1
AT1G67080	ABA4
AT4G18350	NCED2
AT3G14440	NCED3
AT1G30100	NCED5
AT3G24220	NCED6
AT1G78390	NCED9
AT1G52340	ABA2
AT2G27150	AAO3
AT1G16540	ABA3
AT4G19230	CYP707A1
AT2G29090	CYP707A2
AT5G45340	CYP707A3
AT3G19270	CYP707A4
AT1G52400	BG1
AT2G32860	BG2
AT1G07240	UGT71C5
AT2G04240	XERICO
