Description	pcrtB22h_vs_GFP22h_filtered	pcrtB25h_vs_GFP25h_filtered	pcrtBAA_vs_GFPAA_filtered	pcrtBBB_vs_GFPBB_filtered	pcrtBYY_vs_GFPYY_filtered	pcrtB28h_vs_GFP28h_filtered	pcrtB34h_vs_GFP34h_filtered	pcrtB37h_vs_GFP37h_filtered	pcrtBZZ_vs_GFPZZ_filtered	pcrtBCC_vs_GFPCC_filtered	pcrtB40h_vs_GFP40h_filtered	pcrtBDD_vs_GFPDD_filtered	pcrtB46h_vs_GFP46h_filtered	pcrtB56h_vs_GFP56h_filtered	pcrtBEE_vs_GFPEE_filtered	pcrtB96h_vs_GFP96h_filtered
Niben261Chr10g0154018.1	Ribosomal protein L19"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr10g0242005.1	40S ribosomal protein S8"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr10g1018014.1	40S ribosomal protein SA"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.591352130821811
Niben261Chr10g1083018.1	60S ribosomal protein L34"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr10g1090032.1	ERBB-3 BINDING PROTEIN 1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr11g0410006.1	Polyadenylate-binding protein"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr11g1321005.1	60S ribosomal protein L44"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr11g1353021.1	60S ribosomal protein L35-like"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr12g0258002.1	60s ribosomal protein l4"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr12g1053004.1	Ribosomal protein L19"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr12g1301013.1	Peptidyl-prolyl cis-trans isomerase"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.14596679741398
Niben261Chr13g0104005.1	Eukaryotic translation initiation factor 3 subunit E"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr13g0138004.1	60S ribosomal protein L21-like protein"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.674624308104513	NA	0.603669158477199	0.640567844280244
Niben261Chr13g0144001.1	Asparagine--tRNA ligase"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr13g0505002.1	60s ribosomal protein l12"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr13g0579016.1	Ribosomal protein L19"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.648330960450257
Niben261Chr13g1023003.1	protein TOC75-3. chloroplastic"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.30852517934265
Niben261Chr13g1054014.1	ERBB-3 BINDING PROTEIN 1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.734277321716029	NA	NA
Niben261Chr13g1058001.1	60S ribosomal protein L34"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.705326109743813
Niben261Chr13g1120003.1	40S ribosomal protein SA"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.596559978577334
Niben261Chr13g1136001.1	60S ribosomal protein L44"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr14g0093021.1	40S ribosomal protein S30"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr14g0801002.1	Fcf2 domain-containing protein"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr14g0913002.1	Pentatricopeptide repeat-containing protein. mitochondrial"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr14g1121008.1	Ribosomal protein L37"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr15g0725013.1	60S ribosomal protein L23a-like"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr15g1224027.1	T-complex protein 1 subunit zeta 1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr15g1419040.1	Elongation factor 1-alpha"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr16g0007001.1	Glycine-rich RNA-binding protein"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr16g0648005.1	Eukaryotic translation initiation factor 3 subunit E"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr16g0887004.1	Ribonucloprotein"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr16g1091005.1	60s ribosomal protein l5"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr16g1288015.1	Ribonucloprotein"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.689783846008946	0.665468373977289	NA
Niben261Chr17g0154001.1	Ribonucloprotein"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.760923031382124	0.61869551559548	0.725504829360069	0.652650688950306
Niben261Chr18g0077003.1	60s ribosomal protein l12"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr18g0725004.1	Eukaryotic translation initiation factor 5A"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr18g0742013.1	40S ribosomal protein S9"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr18g0828001.1	60S ribosomal protein L30-like"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr19g0392006.1	Polyadenylate-binding protein"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr19g1399009.1	60S ribosomal protein L6-like"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.661422688128027	0.731468723074481	0.797255514264003	NA
