GFP22h1	GFP22h2	GFP22h3	GFP25h1	GFP25h2	GFP25h3	GFP28h1	GFP28h2	GFP28h3	GFP34h1	GFP34h2	GFP34h3	GFP37h1	GFP37h2	GFP37h3	GFP40h1	GFP40h2	GFP40h3	GFP46h1	GFP46h2	GFP46h3	GFP56h1	GFP56h2	GFP56h3	pcrtB22h1	pcrtB22h2	pcrtB22h3	pcrtB25h1	pcrtB25h2	pcrtB25h3	pcrtB28h1	pcrtB28h2	pcrtB28h3	pcrtB34h1	pcrtB34h2	pcrtB34h3	pcrtB37h1	pcrtB37h2	pcrtB37h3	pcrtB40h1	pcrtB40h2	pcrtB40h3	pcrtB46h1	pcrtB46h2	pcrtB46h3	pcrtB56h1	pcrtB56h2	pcrtB56h3
Niben261Chr02g0315004.1	7.495843	4.031878	7.005153	5.43205	6.616099	5.796142	3.105979	16.218961	4.12264	1.641511	2.281081	1.305998	3.325249	1.66206	2.99913	4.136819	4.035972	7.496194	7.696313	9.125801	8.330308	4.219693	4.054076	4.086802	9.92549	7.093357	6.96777	47.398405	19.826253	29.094677	158.853307	59.203479	155.104749	9.083248	17.478245	11.763475	9.810575	21.147769	9.853469	15.647344	18.696327	19.039895	26.658982	17.681267	20.883092	15.240672	10.814148	15.507482
Niben261Chr02g1175005.1	0.42775	0.103841	0	0.072518	0.168165	0.174804	0.101566	0.097324	0.212357	0.207709	0	0	0.375826	0.087948	0.445327	0.124118	0.217517	0.326836	0.796162	1.000508	0.912947	0	0.274387	0.665392	0.220506	0.258049	0	0	0.436712	0.562249	10.579406	0.960098	8.384503	1.081436	2.316194	0.83501	0.55984	1.337971	0.824043	0.983557	2.752724	2.3782	5.925947	3.710916	3.693008	4.119376	4.584586	2.880743
Niben261Chr02g1280010.1	3.490272	2.470347	4.758351	2.51252	2.256304	1.425038	2.035487	5.422293	3.859883	2.045996	2.104656	2.654427	3.607901	2.061284	4.023685	3.035529	2.808805	3.636315	5.605349	7.324936	5.719669	5.207239	6.22132	5.170727	3.295659	2.746479	6.075882	7.183731	5.099859	6.035068	61.559435	21.32951	51.538221	6.24472	13.273691	6.098506	4.906166	7.15174	7.502617	6.048275	7.699209	8.079318	13.342139	10.787167	12.903856	20.142778	11.869493	18.012903
Niben261Chr02g1343006.1	1.389819	1.005125	1.766255	2.87219	2.907472	2.45957	2.773814	12.501191	4.092293	1.979577	2.996037	2.537642	3.165568	1.531763	3.110838	4.605828	4.527523	4.993679	6.800209	7.861844	8.072547	9.937727	8.204803	6.418064	1.486842	0.863789	1.317464	14.984761	8.087953	9.773314	75.61069	39.501118	64.33308	7.164689	14.130866	6.693159	5.273445	6.818025	4.326892	7.989804	9.647506	6.032622	16.572452	9.669865	14.536887	11.880483	10.326933	12.460227
Niben261Chr02g1370003.1	3.037843	5.014792	5.329621	13.596331	9.554359	9.062406	20.918048	21.078874	16.287746	25.519578	31.431263	23.294233	16.014394	18.362945	18.216802	10.401226	9.371684	9.864695	6.408028	4.392472	5.186893	23.853775	27.086365	24.572573	2.349021	2.932212	2.853135	10.717474	7.753698	15.972124	108.125007	20.665283	97.359272	23.552749	40.490591	27.673689	16.380783	19.130662	14.981737	13.830542	14.727332	11.372205	11.222791	8.550578	6.144707	30.207807	26.047308	31.065527
Niben261Chr02g1404005.1	0.060487	0.146839	0.070746	0.861387	0.523157	0.37078	0.459591	1.100991	0.450434	0.264345	0.542394	0.21897	1.009749	0.074619	0.327458	0.035102	0.061517	0.023109	0.975723	1.569136	1.290976	0.771812	0.853608	0.89387	0	0.048653	0.027052	0.691488	0.648404	0.540613	5.444044	2.652634	4.90274	1.087453	2.191916	0.590384	0.918323	0.529758	0.908903	0.333798	0.441102	0.560493	2.669105	0.933054	1.760621	1.706892	0.525617	1.418206
Niben261Chr03g0035006.1	2.672082	2.54575	3.066316	5.624148	8.859875	6.490017	4.23775	5.850258	8.610114	5.483875	6.398816	7.051658	8.637839	7.484188	6.844478	5.588325	8.47751	8.917931	13.187559	14.579768	15.32762	14.499272	15.070681	15.351926	3.690563	3.791716	4.239058	9.319348	15.248867	13.10806	21.657394	11.020207	23.317048	8.15764	9.72291	7.807843	6.440175	9.14657	4.798002	7.883011	11.031266	6.802089	7.527845	10.341749	9.79991	8.491111	10.515131	10.211287
Niben261Chr03g0096019.1	1.677115	1.491142	0.897921	1.951941	1.962872	1.569837	1.002739	1.216609	2.095854	1.305395	1.45657	1.575501	1.855232	1.958734	1.839371	1.059594	2.037226	3.119659	1.906898	2.122407	2.821974	4.375367	5.112996	3.284227	1.931721	1.621706	1.124356	1.654875	2.325666	2.473873	5.605327	1.953673	5.857816	1.725727	2.239653	1.248875	1.545152	1.520184	1.553653	1.443422	1.564747	2.423417	1.491089	2.591151	2.65044	2.207385	1.55526	3.109385
Niben261Chr03g0301003.1	0.526061	0.103454	0.083073	0.144496	0.139616	0.290255	0.269834	0.177764	0.352611	0.034489	0.048992	0.070223	0	0.029207	0.059156	0.123634	0	0	0.035253	0.030241	0.101061	0	0	0.110486	0.402756	0.228523	0.254119	0.952904	0.360447	0.989406	17.566484	0.71124	10.046521	0.19952	3.163856	0.046217	0.074278	0.414641	0	0.359295	0.335191	0.157956	0.218662	0.164316	0.210243	0.063629	0	0
Niben261Chr03g0307006.1	0.079957	0.038821	0	0.108443	0.062868	0.06535	0.113911	0.909611	0.079389	0.155303	0.055152	0.052628	0.035125	0	0	0	0	0.030547	0.119057	0	0	0	0	0	0	0.032157	0.03576	2.224904	0.714279	2.480304	30.246815	2.818263	25.174762	0.898427	4.829075	1.664887	0.334872	1.567284	0.554519	0.07354	1.543648	2.163438	7.630822	1.202341	1.380621	0.859545	0.880129	1.076958
