GeneID	Description	GFP22h1	GFP22h2	GFP22h3	GFP25h1	GFP25h2	GFP25h3	GFP28h1	GFP28h2	GFP28h3	GFP34h1	GFP34h2	GFP34h3	GFP37h1	GFP37h2	GFP37h3	GFP40h1	GFP40h2	GFP40h3	GFP46h1	GFP46h2	GFP46h3	GFP56h1	GFP56h2	GFP56h3	pcrtB22h1	pcrtB22h2	pcrtB22h3	pcrtB25h1	pcrtB25h2	pcrtB25h3	pcrtB28h1	pcrtB28h2	pcrtB28h3	pcrtB34h1	pcrtB34h2	pcrtB34h3	pcrtB37h1	pcrtB37h2	pcrtB37h3	pcrtB40h1	pcrtB40h2	pcrtB40h3	pcrtB46h1	pcrtB46h2	pcrtB46h3	pcrtB56h1	pcrtB56h2	pcrtB56h3
Niben261Chr04g0541005.1	60S ribosomal protein L22	133.18123	164.840875	138.740633	118.131409	109.769028	119.351552	118.210485	109.117413	102.964184	114.432096	114.126938	93.527673	137.40304	119.03894	139.373337	130.232163	120.813737	130.864904	109.451346	107.698689	109.268337	107.198178	119.023518	125.067111	126.73015	164.991112	132.388847	125.713234	112.255031	126.964648	101.573932	91.715352	90.784198	124.063095	117.745419	109.707556	164.19138	135.351478	156.03965	155.421556	147.410889	129.010966	131.090847	122.284126	142.42653	163.924775	139.509064	165.346499
Niben261Chr04g1275003.1	40S ribosomal protein S13	40.613423	58.700962	40.503735	40.840429	33.816029	34.848933	32.2853	30.499392	27.062815	40.109786	41.484691	48.538893	48.58773	59.712882	55.616601	50.217518	38.476848	47.407414	34.232077	36.407451	37.446785	39.612141	32.730055	35.713514	40.239234	39.023513	35.849674	32.400823	32.426922	33.242211	22.471439	24.065667	25.213932	33.668454	37.112357	46.025941	44.523771	36.234696	48.721217	44.307883	32.08927	46.586309	40.733557	37.478888	42.049985	46.732567	37.905113	39.226577
Niben261Chr04g1706001.1	ribosomal RNA small subunit methyltransferase NEP1-like	13.095401	18.654008	14.785587	15.762365	12.575544	13.526593	11.772759	10.678817	12.924145	14.846537	16.144438	16.233486	17.085889	19.358495	20.63714	15.107085	15.174899	15.495906	13.556769	15.145859	12.25195	14.649311	15.533833	18.10792	14.410149	13.937792	11.211574	8.836376	10.749155	11.498761	8.252651	9.413483	9.251865	15.835182	18.646039	17.378351	18.38755	16.135321	18.093388	15.976351	15.486123	15.101807	17.804353	17.497082	16.223494	21.15548	22.414397	21.564453
Niben261Chr04g1714008.1	guanine nucleotide-binding protein subunit beta-like protein	13.626897	20.866331	13.869217	13.106074	15.144616	12.422615	11.449054	9.36106	10.407831	15.460929	16.08761	11.254666	15.771784	16.325626	16.314872	12.774601	17.812331	17.420159	13.657267	13.261982	12.304718	11.510425	13.868218	14.675178	15.805558	19.392407	13.06791	13.998155	12.842223	13.915963	8.771755	7.329778	8.954447	11.262978	16.209196	15.090969	18.589465	13.770805	19.638253	12.714094	18.775495	16.658075	18.286743	14.044844	12.023435	14.672579	18.142613	16.145116
Niben261Chr05g0333004.1	40S ribosomal protein S2	29.290753	41.829084	30.587701	27.196283	25.564232	24.98672	23.614054	19.197155	18.317369	23.145146	28.088337	25.255072	31.621517	32.650377	34.942336	27.395665	25.953411	28.071995	26.253309	25.359454	20.16714	19.581389	22.330193	26.320359	31.740794	35.880679	26.203574	22.179258	25.185357	24.501324	16.940191	18.854752	19.706281	27.040412	31.178437	24.892797	32.450268	35.403979	40.232789	29.113535	32.587207	31.967157	30.900742	28.728134	31.274756	25.933031	29.023982	26.150801
Niben261Chr05g0655007.1	60S ribosomal protein L35-like	208.92504	275.343887	210.174946	199.017717	187.206662	206.70874	210.271199	197.603225	169.353293	274.120806	280.29593	231.188667	265.099707	272.173415	276.968648	242.436375	259.973946	232.114444	170.112128	168.684866	168.655727	193.076123	208.184058	180.189747	161.230246	258.915673	167.809908	200.921218	169.158004	182.597618	152.26687	158.460834	161.240343	222.499814	259.476802	245.360491	327.274998	201.214802	315.1161	266.825819	253.389628	243.824921	241.299063	196.199275	185.168757	243.345074	234.102046	242.484857
Niben261Chr05g1014003.1	60S ribosomal protein L21-like protein	13.023289	19.637084	15.884248	11.536445	12.678252	16.975791	17.6204	13.32936	10.464274	11.923016	15.602227	13.803588	18.787659	22.443242	21.388502	20.167487	18.468335	19.698929	17.23944	13.892234	13.767781	13.106231	15.438607	20.001019	14.896303	17.220833	13.524831	9.891265	12.615555	15.276943	12.804114	11.744756	13.733436	14.874139	14.478263	15.091407	22.764341	21.376293	20.825694	15.35751	21.152169	20.107738	14.909303	19.50169	13.979552	17.10541	18.552089	18.534749
Niben261Chr06g0014013.1	40S ribosomal protein S9	132.919613	180.512161	142.253735	152.592624	137.722177	158.78399	137.662964	133.944963	131.360173	137.296486	164.792824	151.869922	165.592006	160.88147	175.139847	152.962771	168.309567	168.931482	125.311595	129.416063	131.3207	110.323382	132.237453	135.091156	143.756595	166.156327	130.093872	124.861711	147.268473	141.135914	117.573767	114.638089	117.940284	149.560031	142.539664	141.274032	178.422886	136.96075	185.362409	169.323083	178.521378	163.843599	154.66755	143.336084	151.967173	163.859871	151.148225	154.015862
Niben261Chr06g0033009.1	60S ribosomal protein L6-like	109.274633	150.627552	105.45302	116.319496	94.703857	107.8355	99.836806	85.103774	84.170998	121.626054	138.78795	125.65229	130.108383	134.391101	140.855878	113.242254	113.976358	129.360225	95.492145	90.268001	88.953326	81.934629	90.817465	103.932732	111.499532	146.345675	100.037586	96.057248	85.040491	100.86373	71.254805	64.92826	74.039545	101.42449	122.278409	109.488183	162.881373	112.490139	149.199558	129.717077	126.443822	122.090147	119.28533	107.188613	115.506117	127.149786	120.657211	116.702472
Niben261Chr06g0328006.1	Small nuclear ribonucleoprotein Sm D2	87.250876	110.998882	73.426849	79.371555	75.490327	72.358511	72.456554	62.96086	59.839768	89.57861	108.125615	98.527979	126.416065	97.353135	119.640289	109.535291	107.228928	106.266655	82.690941	91.195184	92.767157	90.487974	97.392782	105.621259	85.069592	105.989566	86.900337	78.433014	74.58559	76.814954	73.545971	65.266264	57.33785	83.826227	102.469355	110.991233	128.21514	109.501658	118.323427	115.729408	112.420944	111.476444	123.649193	100.741243	107.342797	128.55964	135.73153	127.307561
Niben261Chr06g0382002.1	60S ribosomal protein L37a	1044.373489	1225.448936	793.039862	977.281859	981.423819	971.693356	1033.0444	934.218646	983.952833	1309.901213	1185.56143	1269.272061	1340.077803	1093.179311	1166.634587	1044.680722	1008.334559	1140.20228	934.745869	744.530248	1077.660357	964.946019	974.441443	1214.577372	1098.952547	1203.795569	988.433138	1071.826745	947.519696	1204.112313	1071.127786	838.293061	856.034632	1081.832559	1111.298047	1011.57584	1266.428768	1039.124708	1246.864074	1030.717579	1288.232683	1185.944217	973.883593	1084.354053	1052.177086	1285.718068	1339.625201	1248.661628
Niben261Chr06g0625003.1	50S ribosomal protein L22, chloroplastic	669.654774	822.115869	706.77811	569.862866	584.594612	571.066263	556.457876	532.226877	434.133331	638.593103	699.046234	649.518335	789.167734	792.257411	843.260293	774.149463	791.696641	736.242855	631.708452	597.78313	581.480708	596.216695	610.950798	599.366772	604.801056	710.012042	588.594043	473.50284	515.606543	486.378172	417.978804	445.927203	426.329367	617.250503	673.219235	676.143261	846.66033	666.202469	820.49061	748.182232	778.799233	721.296529	695.649757	645.038019	623.000455	653.477635	742.261462	679.725349
