GFP22h1	GFP22h2	GFP22h3	GFP25h1	GFP25h2	GFP25h3	GFP28h1	GFP28h2	GFP28h3	GFP34h1	GFP34h2	GFP34h3	GFP37h1	GFP37h2	GFP37h3	GFP40h1	GFP40h2	GFP40h3	GFP46h1	GFP46h2	GFP46h3	GFP56h1	GFP56h2	GFP56h3	pcrtB22h1	pcrtB22h2	pcrtB22h3	pcrtB25h1	pcrtB25h2	pcrtB25h3	pcrtB28h1	pcrtB28h2	pcrtB28h3	pcrtB34h1	pcrtB34h2	pcrtB34h3	pcrtB37h1	pcrtB37h2	pcrtB37h3	pcrtB40h1	pcrtB40h2	pcrtB40h3	pcrtB46h1	pcrtB46h2	pcrtB46h3	pcrtB56h1	pcrtB56h2	pcrtB56h3
Niben261Chr08g0036005.1	0.142311	0.055908	0.120832	0.83134	1.028593	1.02147	0.899086	0.954937	0.676257	0.408798	0.469593	0.451303	0.349097	0.29109	0.340872	0.448688	0.447454	0.429809	0.392207	0.261965	0.102454	0.639054	0.508234	0.532306	0.080579	0.090424	0.042057	1.085999	0.912426	0.91791	1.012987	0.782192	0.9454	0.365957	0.42179	0.405868	0.141734	0.167053	0.178066	0.436328	0.405289	0.257178	0.709093	0.603093	0.708087	1.074483	0.857138	0.89823
Niben261Chr09g1374012.1	39.964813	46.429441	51.017955	60.07451	56.251289	43.339771	48.968969	62.410652	63.180501	54.087513	55.546808	44.465886	47.748074	40.530451	43.216409	31.850911	35.28292	30.856814	38.096142	46.630586	39.785316	37.168387	34.207005	33.483894	36.539873	49.978241	41.508878	86.847453	54.015448	41.993333	75.076375	65.443016	82.878955	52.985233	52.584516	50.138708	57.873838	43.305759	52.24276	30.943614	36.476708	33.93457	54.908202	50.10949	43.866991	58.239079	48.424422	57.210333
Niben261Chr10g0412021.1	4.287269	5.45843	9.447973	18.804754	9.553729	12.275274	15.441648	23.671874	11.875293	16.065227	25.92185	16.739142	12.88105	16.430208	14.930463	6.795943	4.366164	8.229965	10.334376	7.742812	9.225891	5.738693	8.275339	5.040165	2.584065	2.334536	3.272691	14.923734	6.158949	5.935641	26.474827	24.271479	24.032177	11.316067	18.123397	14.461006	10.153351	6.780717	13.734089	3.03391	2.756642	4.277707	12.284678	7.519273	11.798653	23.126875	10.01952	19.474098
Niben261Chr11g0516003.1	1.259007	0.90221	1.03954	11.974008	5.796084	7.641815	4.782494	6.72477	5.074184	3.452705	3.606828	4.482478	2.883408	1.462048	2.65188	0.515992	0.301282	0.848961	3.749297	2.015719	2.460321	0.363458	0.475116	0.518417	0.305421	0.595702	0.132515	4.589045	1.663568	1.012328	9.646625	6.390636	11.953741	1.527234	2.467821	1.542205	1.551085	0.494244	1.769472	0.068116	0.69901	0.41635	3.876434	2.855519	1.790584	2.189426	0.343248	1.773381
Niben261Chr11g1180001.1	0.919501	0.854174	1.543023	2.494732	1.068759	1.633751	1.556778	5.16657	2.262567	1.863618	2.867912	1.81564	1.861626	1.216522	1.231952	0.556814	0.35234	1.008024	0.535758	0.544054	0.682606	0.7848	1.128408	1.523614	0.164871	0.289413	0.429115	1.072594	1.163255	1.093006	6.245034	4.804109	6.184283	1.752132	6.260729	2.861496	1.674359	2.100827	1.047425	1.21348	0.994796	1.778266	1.189705	0.678378	1.025523	3.008367	2.084517	3.031853
Niben261Chr12g0230011.1	0.192461	0.455536	0.436063	1.166475	1.087641	1.317403	1.142413	1.4887	1.898955	1.109741	0.995486	0.910467	0.697527	0.504329	0.641179	0.390916	0.840042	0.689322	0.692541	0.70594	0.673201	0.838271	1.149661	0.81395	0.173624	0.493449	0.365821	1.721402	1.06229	1.188988	1.834053	1.65316	1.350896	0.621738	1.222319	0.626077	0.667515	0.571899	0.519073	0.564201	0.567669	0.722235	1.160203	0.584264	0.783279	0.818971	1.198441	1.152134
Niben261Chr12g0355010.1	3.293401	3.074122	2.943429	10.882996	6.046505	8.314472	6.701757	11.703383	6.835464	5.123439	7.400249	4.507935	2.27879	2.472419	2.680441	2.149481	1.520665	2.261643	2.700022	2.823102	2.754503	1.879746	2.568852	2.544663	2.389725	2.585887	2.110197	5.192928	3.672938	3.651351	14.9434	10.054811	18.661139	4.102577	6.496381	3.442355	1.754892	1.122142	1.918272	1.852531	1.232779	1.942744	3.388474	2.243806	2.069367	5.188527	3.260912	4.81781
Niben261Chr12g1532004.1	1.188471	2.3515	5.999337	9.891584	7.735681	9.376556	14.474512	18.875765	14.383413	8.566369	9.977967	7.127126	5.725451	4.932175	5.646521	3.066515	2.135981	3.212482	4.904616	3.951514	3.842464	5.516889	5.622143	4.790344	0.659517	1.302613	2.083694	6.696902	3.980527	4.906636	21.549148	19.352181	20.32831	6.062247	9.750702	7.605981	4.521227	4.235091	5.676724	1.560457	2.481511	2.682146	9.592951	4.220124	6.311887	7.576142	5.378777	8.169418
Niben261Chr13g0739003.1	0.735373	1.399924	1.618828	3.383793	3.180139	3.008514	3.542252	5.375768	3.181153	2.295399	1.884159	1.624688	1.799867	1.425569	1.093808	0.913686	0.641105	0.963229	1.459981	1.027244	1.09548	2.990325	1.998716	2.083278	0.758172	0.84481	0.751421	2.60737	2.432559	2.651118	6.600857	3.844405	4.952819	1.35756	1.881622	1.571713	1.154994	0.70101	0.971184	0.338179	0.585937	0.622779	2.263731	1.78211	1.606746	3.246337	2.861039	3.458813
Niben261Chr13g0858005.1	1.102929	1.762825	3.022864	2.971596	2.314182	2.544326	2.430568	4.281207	2.02193	3.055443	4.510381	3.845672	2.852376	3.446393	2.59673	1.425699	1.847124	1.745952	1.396765	1.298435	1.242736	1.369925	1.427965	1.424896	0.952834	1.14612	1.821495	4.522985	1.937109	2.349865	8.132533	5.452626	7.043104	2.187285	3.754352	3.437358	2.949286	1.18889	2.171197	1.285589	1.199681	1.660294	2.024389	1.720071	2.883494	3.611968	3.177997	3.207546
Niben261Chr15g1462012.1	0.404569	0.174602	1.577287	0.701118	0.282759	0.734803	1.195435	1.759175	0.848027	0.523874	0.496109	0.414225	0.236972	0.221817	0.411833	0.313044	0.121914	0.206073	0.111558	0	0	0.573585	0.346	0.631069	0.417112	0.253103	0.965003	0.848793	0.321257	0.685403	2.173418	1.862405	2.143273	0.35357	1.085973	0.936009	0.941334	0.749902	0.381032	0.206723	0.347139	0.766434	0.64582	0.311983	0.266123	0.765131	0.416685	0.493347
Niben261Chr16g0044013.1	0.74412	0.858643	1.209109	4.168532	1.858451	1.753276	4.109546	4.66541	2.229164	4.360605	7.024498	3.689285	2.158508	2.309241	3.144224	1.447367	0.826129	1.319268	1.035952	0.955045	1.382483	1.980205	2.429846	1.684234	0.239733	0.667268	0.628271	1.586211	1.273192	0.748322	8.165557	4.519395	7.314309	2.12728	4.154951	2.054136	1.980076	0.872349	1.959114	0.369442	0.474121	0.450112	1.064193	1.012666	1.36013	3.035414	2.284256	2.68887
Niben261Chr16g0415004.1	5.713619	4.60772	7.428101	13.494079	7.556462	10.80744	13.115847	14.26316	8.391604	12.510997	16.125248	12.228505	6.251199	6.277489	7.878726	3.542959	2.526927	3.08924	5.576431	5.750717	4.996044	5.020249	6.183352	4.952428	1.685039	2.303865	1.903497	5.559618	5.944394	5.368385	21.258858	15.302824	18.653356	8.125534	17.486588	10.777654	3.864474	4.128659	6.687159	2.11443	2.937912	4.327324	7.680804	5.732817	5.672442	9.536674	6.987864	8.955151
Niben261Chr16g0858006.1	2.355815	2.34556	2.648817	3.157354	2.957703	3.918417	3.085355	3.338284	2.644902	1.01177	2.366634	1.247075	0.870602	0.451764	0.844692	0.59925	1.004556	1.397277	0.963919	1.26114	1.171893	1.006257	0.899674	0.774271	1.4051	2.580808	1.695159	2.349122	2.170964	1.851529	4.305999	3.281073	7.516684	0.921427	1.884558	1.467902	0.415757	0.434081	0.612605	0.845423	1.154035	1.282863	1.461623	1.54059	0.970891	1.367988	0.919042	1.861494
Niben261Chr17g0451003.1	1.964808	2.092551	2.705725	4.381297	2.962215	3.522529	4.063261	4.828614	4.121899	3.570115	3.060249	3.209035	3.477573	2.080252	3.088086	1.981581	2.833077	2.779155	2.216532	2.665771	2.014077	5.101219	5.842869	6.330592	1.176209	1.147074	1.30391	3.39654	3.119503	2.799177	8.227233	7.649302	5.708072	4.166176	6.619812	4.041707	4.313542	3.670044	3.296645	2.331729	2.280447	3.09842	5.752006	3.348005	3.609968	5.988414	7.38062	6.924394
Niben261Chr18g0190001.1	19.743689	23.690805	32.301591	46.333352	40.093176	39.376192	35.425288	46.493432	34.812619	27.55241	38.118646	33.312217	35.48005	33.440686	36.715352	29.377364	23.782759	32.75163	33.871585	28.137153	28.739643	28.793585	29.470304	27.376568	19.980209	15.962398	21.516056	37.362995	33.332468	35.806786	53.502149	60.24378	49.861107	28.407024	36.380608	34.221223	36.164504	34.020885	36.13912	29.572962	30.165594	29.193544	41.036441	39.944629	43.169912	42.907216	30.865629	42.743607
Niben261Chr18g0833002.1	2.155602	1.191333	2.859467	4.57503	3.759833	3.916932	6.581661	10.156481	7.025861	6.067816	7.669208	4.916339	5.084711	2.837793	3.448635	2.4333	1.741655	2.109193	2.263427	2.602502	1.927495	5.870484	7.720896	7.931797	0.824776	0.431741	1.303154	6.280466	4.159003	4.698995	16.479808	19.692784	12.325587	8.311842	12.581728	7.77548	5.379147	6.04204	6.787531	5.818324	6.776776	5.996863	6.050412	3.75256	4.350353	10.30383	9.417785	11.702596
Niben261Chr18g1454008.1	1.776031	2.426993	2.510637	11.304209	8.951216	10.50588	10.098252	14.849287	10.71015	9.794687	12.690515	8.793433	7.976546	7.151056	7.24781	2.65519	2.129714	2.000906	3.820779	3.184975	3.100566	4.639671	6.16939	5.816532	1.121555	1.17869	0.917811	10.349694	8.728509	10.361766	19.04299	17.003942	17.578474	7.226277	10.501007	9.111726	6.612825	4.274347	6.30739	2.350789	3.417544	3.636626	5.349614	3.873458	3.394025	9.035698	7.023167	9.899918
Niben261Chr19g0653006.1	6.867998	7.500825	7.797573	17.275518	14.536672	13.312395	19.188149	19.573407	19.393588	14.218459	14.499604	17.331896	12.256619	14.449852	12.408426	9.948503	8.060303	8.400954	7.900996	6.241508	6.780168	17.358937	18.37856	17.681706	4.846759	5.112519	4.609186	16.779807	12.169938	15.881834	30.894847	25.541582	31.713295	17.538807	16.915478	15.182947	12.290869	10.441634	15.412815	9.638678	7.57678	7.16969	10.075203	8.960714	9.092953	19.377607	19.296047	21.001483
