Name	pcrtBEE_vs_GFPEE_filtered
PaancrtB:mRNA	10,934736673226
Niben261Chr10g1108005.1	-4,86112843072121
Niben261Chr16g0933001.1	-2,3091552710644
Niben261Chr13g1231008.1	2,81406083280449
Niben261Chr08g0313002.1	6,64628470200844
Niben261Chr06g1467010.1	9,08288539430841
Niben261Chr10g0129001.1	3,76194594493707
Niben261Chr10g0135007.1	8,35165389266101
Niben261Chr12g0605007.1	-4,96230812023395
Niben261Chr17g1283002.1	-3,03803855140335
Niben261Chr13g0649001.1	-2,32351106444545
Niben261Chr10g0129002.1	5,30253046936424
Niben261Chr10g0410017.1	-4,01626545900471
Niben261Chr17g1414007.1	4,52711208543823
Niben261Chr14g0648007.1	-3,27378170076829
Niben261Chr14g1074001.1	1,53316894623866
Niben261Chr07g1296012.1	4,43543420652198
Niben261Chr07g1020004.1	-5,2444382173509
Niben261Chr16g0915012.1	-3,06879735932564
Niben261Chr12g0293002.1	-2,10745888103537
Niben261Chr13g1166005.1	-3,15666166870338
Niben261Chr09g1113002.1	-3,7972575810426
Niben261Chr02g0148001.1	-2,50571350462038
Niben261Chr13g1258002.1	-7,85006501183923
Niben261Chr02g0919011.1	-7,47443326004861
Niben261Chr14g0208010.1	-7,08469092745647
Niben261Chr09g1113018.1	-4,09797793458657
Niben261Chr13g1429005.1	-4,34565652258086
Niben261Chr01g1364017.1	-3,75661773720843
Niben261Chr05g1238006.1	-2,43869668160222
Niben261Chr02g0789009.1	-4,0300526535059
Niben261Chr11g0375002.1	-2,4849456357851
Niben261Chr04g1789009.1	-6,25211559064025
Niben261Chr10g0286014.1	-3,71921371944872
Niben261Chr03g0016006.1	-2,27949986351971
Niben261Chr19g0386008.1	-3,12621875710236
Niben261Chr03g1329003.1	-2,24602108654693
Niben261Chr17g1291020.1	-3,89891975383761
Niben261Chr17g1223001.1	3,63905805223161
Niben261Chr07g1158009.1	-7,14435318674415
Niben261Chr05g0829006.1	-2,03231869886795
Niben261Chr09g1220002.1	2,82021582605633
Niben261Chr05g0814003.1	-1,35214658430108
Niben261Chr13g0686007.1	-4,10742849213749
Niben261Chr17g0004017.1	-3,56672331408834
Niben261Chr14g0607006.1	-3,32713203162667
Niben261Chr07g0724002.1	-1,53071483327151
Niben261Chr06g1414003.1	-2,77422611967251
Niben261Chr03g1904002.1	4,78582975057484
Niben261Chr19g0071003.1	3,5111096547256
Niben261Chr15g1512008.1	-2,40709515980206
Niben261Chr09g1046007.1	2,56061189007964
Niben261Chr09g1062005.1	3,38028316037181
Niben261Chr16g0390020.1	2,1392259772659
Niben261Chr05g1054005.1	-1,26321764154615
Niben261Chr16g1185001.1	-1,71741460376212
Niben261Chr06g1467002.1	9,05209500105696
Niben261Chr03g0059001.1	-2,96780830924362
Niben261Chr06g0903016.1	-1,57597492240328
