Name	pcrtBAA_vs_GFPAA_filtered
Niben261Chr08g0161029.1	-1,74455920531596
Niben261Chr11g1278016.1	1,41900779474077
Niben261Chr16g1183012.1	-1,37576819062301
Niben261Chr18g1268010.1	-1,59694155846777
Niben261Chr15g0548012.1	-0,922609626797269
Niben261Chr14g0586007.1	-0,832190087080087
Niben261Chr01g1364017.1	-2,048058252818
Niben261Chr06g1077006.1	-1,06062945465093
Niben261Scf15903g0000001.1	-5,24587422964809
Niben261Chr13g1250002.1	-6,0472968899543
Niben261Chr15g0613010.1	-1,21734235414447
Niben261Chr01g1268007.1	-4,94583312001101
Niben261Chr06g0320006.1	1,39966598567
Niben261Chr02g0155007.1	-1,68419003544415
Niben261Chr15g0013007.1	-0,895748371667564
Niben261Chr14g0621005.1	-2,3201079625778
Niben261Chr06g0367001.1	-1,19213963127414
Niben261Chr07g1158009.1	-6,43300981968815
Niben261Chr16g0180004.1	0,816445422449829
Niben261Chr04g0653007.1	-1,20038597890167
Niben261Chr19g1436002.1	1,20377316283947
Niben261Chr05g0829006.1	-1,12107549604901
Niben261Chr14g1362021.1	-2,97442227398514
Niben261Chr12g0883009.1	-1,74902732288218
Niben261Chr09g0872017.1	-2,04136476520656
Niben261Chr17g1207004.1	-2,36854876820421
Niben261Chr16g0303005.1	-2,15482644434364
Niben261Chr06g0503004.1	-0,732433009289038
Niben261Chr08g0700026.1	-1,07212779170371
Niben261Chr16g0588007.1	-5,48652195990677
Niben261Chr14g0135012.1	-1,35984581988883
Niben261Chr06g0223002.1	-1,54597719312171
Niben261Chr18g1377001.1	-2,70894005539052
Niben261Chr15g0891005.1	1,80890627151408
Niben261Chr14g0181003.1	-1,40295416862731
Niben261Chr03g1023007.1	-1,51094452463944
Niben261Chr18g0299004.1	-2,88079149331222
Niben261Chr01g1761005.1	-1,55847063986222
Niben261Scf02055g0000005.1	-1,0333198262557
Niben261Scf00333g0000002.1	-1,34856060030821
Niben261Chr01g0653018.1	-0,738031376717845
Niben261Chr01g0014008.1	1,15395743747114
Niben261Chr10g0856001.1	-1,40345743246405
Niben261Chr01g1439001.1	-1,3548345365673
Niben261Chr15g1514008.1	0,887298898361241
Niben261Scf00054g0000006.1	-2,03747393492268
Niben261Chr19g1148010.1	-0,881858057011774
Niben261Chr07g1128039.1	0,734407555595525
Niben261Chr05g1174020.1	-1,25935917983667
Niben261Chr01g0547003.1	-1,09048760510747
Niben261Chr15g0705004.1	-3,51840531143827
Niben261Chr18g0920007.1	-1,83231947493863
Niben261Chr07g0657005.1	0,927985807775403
Niben261Chr02g0789009.1	-1,96771901026505
Niben261Chr06g1206003.1	-1,17421936755961
Niben261Chr16g1270001.1	-5,86095988935135
Niben261Chr04g0629006.1	-1,2167534217444
Niben261Chr17g1530002.1	-2,261739498685
Niben261Chr08g1271010.1	-1,00724898520534
Niben261Chr07g0378026.1	-4,30377207616626
Niben261Chr07g0077009.1	-1,63630365619471
Niben261Chr03g0273006.1	-1,33621395542417
Niben261Chr07g0000008.1	-1,385372485299
Niben261Chr19g0546002.1	-1,52896420091762
Niben261Chr13g1248002.1	1,09608158801694
Niben261Chr13g1031007.1	-4,40674851607107
Niben261Chr17g0171006.1	-5,23541171943637
Niben261Chr17g0053013.1	-1,04180696103052
Niben261Chr11g1394002.1	-2,28876141151741
Niben261Chr18g0107002.1	-1,6197831471469
Niben261Chr18g1375009.1	-2,08865636040203
Niben261Chr10g1231002.1	-1,0825204248884
Niben261Chr17g0244002.1	-0,955417185685425
Niben261Chr06g1107031.1	-1,89751242616326
Niben261Scf06527g0000004.1	0,995829111165183
Niben261Chr06g1029008.1	-0,977512768752909
Niben261Chr03g1474012.1	0,860650371986975
Niben261Chr12g0913008.1	-5,70874797596764
Niben261Chr15g1078001.1	-1,14883092798205
Niben261Chr19g1323002.1	-1,40670611187849
Niben261Chr03g0016006.1	-1,33795683531915
Niben261Chr04g0732004.1	0,76399679491287
Niben261Chr19g0041004.1	-1,09356060198455
Niben261Chr08g0655002.1	-0,659339971095413
Niben261Chr13g0287001.1	-2,4816839903376
Niben261Chr10g0283017.1	1,14797379021658
Niben261Chr04g0430002.1	-2,98163295701161
Niben261Chr08g0017019.1	-2,82705998375242
Niben261Chr07g1305014.1	-2,31761954227855
Niben261Chr02g0788005.1	-2,5223832081418
Niben261Chr17g1282006.1	-1,76308523974207
Niben261Chr08g0113026.1	-0,888235168842711
Niben261Chr02g1085005.1	-1,20080240044579
Niben261Chr08g0367020.1	0,691556950751214
Niben261Chr13g0585004.1	-2,33900545557365
Niben261Chr16g0254004.1	-1,73621444687294
Niben261Chr13g0726008.1	-0,834925827394277
Niben261Chr15g0728014.1	-1,01123490174873
Niben261Scf15513g0000002.1	-2,04574738699838
Niben261Chr10g0858018.1	-0,777230986611411
Niben261Chr07g1030003.1	1,03590697318602
Niben261Chr10g0234013.1	-1,55141520160585
Niben261Chr13g1203006.1	-1,08638671074422
Niben261Chr14g1184007.1	-1,49546916429318
Niben261Chr06g0725007.1	-1,38999452609538
Niben261Chr13g1261011.1	-1,33583767878738
Niben261Chr08g1141004.1	-5,62968338163324
Niben261Chr12g0389008.1	-2,0114077029693
Niben261Chr03g1930011.1	-1,6947598551855
Niben261Chr05g1363005.1	-1,19091126880843
Niben261Chr19g0655003.1	-1,56210678383044
Niben261Chr06g0224006.1	-1,03444088563004
Niben261Chr11g0432011.1	-3,53900625135863
Niben261Chr06g1411005.1	-0,796182661405695
Niben261Chr19g0895002.1	-1,46040463627848
Niben261Chr13g1429005.1	-1,67991833709374
Niben261Chr18g1066021.1	-1,03909225380599
Niben261Chr02g0590009.1	-0,828721227536391
Niben261Chr01g1431009.1	-1,80924290723375
Niben261Chr04g0235002.1	0,896877399217109
Niben261Chr07g1165001.1	-0,850431363161711
Niben261Chr12g1169005.1	-1,20899714083925
Niben261Chr09g0664007.1	-1,1586530225652
Niben261Chr02g1037003.1	-1,09942885864099
Niben261Chr04g1620020.1	0,990008008464505
Niben261Chr01g1430002.1	-4,599542162633
Niben261Chr13g0634007.1	0,892591116255265
Niben261Scf08256g0000002.1	1,08797283542497
Niben261Chr08g0031007.1	-0,888234696776357
Niben261Chr10g0153013.1	-2,65354074071824
Niben261Chr08g1322008.1	-0,771052510519724
Niben261Chr03g0183006.1	-0,710124682214375
Niben261Chr02g1423002.1	-1,30723625439555
Niben261Chr06g0550015.1	-0,773049403958554
Niben261Chr18g0023002.1	0,773001816790656
Niben261Chr02g0774004.1	-3,60578557919775
Niben261Chr18g0557014.1	-1,25283580540176
Niben261Chr10g0111008.1	-2,26299589443766
Niben261Chr01g0191003.1	0,746280027062302
Niben261Chr12g0284004.1	-1,07013747784167
Niben261Chr07g1029002.1	-1,6891893857822
Niben261Chr03g0121002.1	-0,794918018151499
Niben261Chr09g0978016.1	-0,862722352188878
Niben261Chr10g0998002.1	-1,33692505073507
Niben261Chr10g0342006.1	-2,21373777507655
Niben261Chr13g0838024.1	-1,546156847082
Niben261Chr04g0620007.1	0,69943383080756
Niben261Chr02g1307001.1	0,970448651662396
Niben261Chr19g0661007.1	-1,5107675648569
Niben261Chr08g0329011.1	0,740721721446988
Niben261Chr16g0308003.1	-2,20762471411277
Niben261Chr04g0406001.1	-5,79178186832567
Niben261Chr12g0511002.1	0,979986283952573
Niben261Chr02g0777011.1	-2,36436368444776
Niben261Chr03g0246002.1	-1,00200009848709
Niben261Chr18g0920012.1	0,716400439336286
Niben261Chr04g0615001.1	-4,85141764771922
Niben261Chr08g0169014.1	-2,05277876080327
Niben261Chr01g0951004.1	-0,850264790221859
Niben261Chr09g1041019.1	-1,04961973176917
Niben261Chr16g0390020.1	-1,91997156087098
Niben261Chr08g0714002.1	-1,02621613741577
Niben261Chr12g0202001.1	-2,79278906610496
Niben261Chr17g0934001.1	-1,06313924402214
Niben261Chr04g0243004.1	-0,761505006204397
Niben261Chr19g0250003.1	-2,01921525246521
Niben261Chr17g1138001.1	-0,820508356259889
Niben261Chr14g0579002.1	-0,938412478416322
Niben261Chr16g0884015.1	-1,82819530244868
Niben261Chr01g0014001.1	-0,742021070989002
Niben261Chr07g1211004.1	-0,669019127267532
Niben261Chr13g0114019.1	-2,03518779975478
Niben261Chr17g0988004.1	-2,21459095598996
Niben261Chr04g0659006.1	-2,15008520142115
Niben261Chr04g1319007.1	-0,862333365887296
Niben261Chr04g0471002.1	-3,62890898429183
Niben261Chr08g0481011.1	0,787398544524632
Niben261Chr18g1261002.1	0,869747001119194
Niben261Chr01g1223002.1	-0,750264699932216
Niben261Chr17g1546014.1	1,78024340519153
Niben261Chr05g0514001.1	-0,69567115849521
Niben261Chr06g1174004.1	-1,0237939087128
Niben261Chr15g1422003.1	-1,1252687019817
Niben261Chr04g0027004.1	-3,70612545449765
Niben261Chr07g0450002.1	-0,829672210288135
Niben261Chr11g1394015.1	-1,13543837582857
Niben261Chr03g0228003.1	-1,54842084038434
Niben261Chr13g0801007.1	-2,11992195946526
Niben261Chr03g0154010.1	1,02368787633615
Niben261Chr11g0963001.1	1,03933503550066
Niben261Chr09g0824003.1	-0,766691528508258
Niben261Chr13g0565001.1	0,781655076607922
Niben261Chr04g1848005.1	-0,746666036037399
Niben261Chr05g0846008.1	-1,42329414267136
Niben261Chr11g0599003.1	0,782431807371974
Niben261Chr14g0204001.1	-0,781322713688483
Niben261Chr06g0699001.1	-1,85567618124434
Niben261Scf00229g0000002.1	-2,4612415000869
Niben261Chr03g1556006.1	-1,15820278988867
Niben261Chr04g1539003.1	-3,70260161465428
Niben261Chr14g0000001.1	-0,973417745879737
Niben261Chr02g0756001.1	-1,10498097804539
Niben261Chr05g1238006.1	-1,11191588252433
Niben261Chr12g1028009.1	-2,69175859895604
Niben261Chr04g1789009.1	-3,06830340714551
Niben261Chr14g1360001.1	-3,37692840680758
Niben261Chr03g0746011.1	-1,51616468633855
Niben261Chr05g0898007.1	-2,05024834007006
Niben261Chr13g0010010.1	-1,89055871562772
Niben261Chr17g1326001.1	-1,94461255636039
Niben261Chr05g0511001.1	-0,748205871163847
Niben261Chr10g0553001.1	-1,57015380064536
Niben261Chr13g0959002.1	-2,45508158569708
Niben261Chr14g0913015.1	-1,37074583781633
Niben261Chr16g0336001.1	-2,45247205784153
