Name	pcrtBCC_vs_GFPCC_filtered
Niben261Chr10g1108005.1	-5,0095822161332
Niben261Chr13g1429005.1	-4,86014340923962
Niben261Chr13g1031007.1	-6,44670270054926
Niben261Chr14g0208010.1	-7,1559862741682
Niben261Chr03g1081001.1	-3,55619231220671
Niben261Chr10g0410017.1	-3,85221568936565
Niben261Chr12g0008007.1	-5,73266568033253
Niben261Chr13g1166005.1	-2,98373028649006
Niben261Chr03g1491011.1	-3,47672547233912
Niben261Chr12g0257004.1	-1,80095642961753
Niben261Chr10g0540006.1	-5,19154222786982
Niben261Chr04g0406001.1	-5,90056414836495
Niben261Chr12g0719006.1	-2,65581464918553
Niben261Chr07g0159002.1	-4,59316519903078
Niben261Chr02g0084019.1	5,86712745200521
Niben261Chr13g1031030.1	-5,92265682099038
Niben261Chr07g0378012.1	-3,23966207307852
Niben261Chr10g0286014.1	-2,75091797405167
Niben261Chr17g1283002.1	-2,91061556436423
PaancrtB:mRNA	8,64618391096922
Niben261Chr02g0919011.1	-7,39473825502716
Niben261Chr11g0949004.1	-2,06985016649857
Niben261Chr12g1569022.1	-4,75427135454919
Niben261Chr03g0016006.1	-1,89441658396874
Niben261Chr18g1066021.1	-1,79053635713026
Niben261Chr14g0648007.1	-3,14837799500511
Niben261Chr08g0313002.1	6,2775247264187
Niben261Chr12g0605009.1	-3,86433307114914
Niben261Chr07g0989006.1	7,15244297383733
Niben261Chr07g1158009.1	-5,81369999701338
Niben261Chr11g1389005.1	-3,63508769494624
Niben261Chr10g0129002.1	5,87390072501536
Niben261Chr07g1305014.1	-3,9304880420136
Niben261Chr08g0016009.1	-2,14470649866733
Niben261Chr02g0148001.1	-2,55835984011449
Niben261Chr05g1238006.1	-2,59061035632945
Niben261Chr14g0950012.1	-2,46935623178829
Niben261Chr06g0506008.1	-5,32541930705659
Niben261Chr12g1315001.1	-5,17071307724475
Niben261Chr12g0605007.1	-5,15553954071883
Niben261Chr16g0398018.1	-1,70184253847033
Niben261Chr16g0254004.1	-3,69727937707197
Niben261Chr16g1270001.1	-7,28970618672044
Niben261Chr06g0699001.1	-2,43687689332388
Niben261Chr09g0996004.1	-5,13261265404237
Niben261Chr10g0135007.1	6,80618812125849
Niben261Chr04g0107026.1	-1,50082423665313
Niben261Chr07g1356022.1	-5,91949794895613
Niben261Chr04g1664002.1	-1,81189289358512
Niben261Chr13g0063032.1	-2,03524949558142
Niben261Chr06g0267016.1	-2,51121271619415
Niben261Chr06g0805006.1	-6,06845203514942
Niben261Chr02g0774004.1	-5,55663783060213
Niben261Chr04g1336004.1	6,39563122875812
Niben261Chr06g1114007.1	-4,8888336857484
Niben261Chr17g1207004.1	-3,97248859976501
Niben261Chr09g1305030.1	-5,69322926541127
Niben261Chr16g1429013.1	-6,88751734307329
Niben261Chr08g0313003.1	6,55660328155503
Niben261Chr04g1539003.1	-4,14055531398509
Niben261Chr06g0316005.1	-1,52325646132556
Niben261Chr19g0546002.1	-1,71574783906897
Niben261Chr01g1152002.1	-1,43307596354024
eGFP:mRNA	-3,26525313818533
Niben261Chr17g0102008.1	-4,11574092700508
Niben261Chr13g1250002.1	-5,93602788675711
Niben261Chr02g1039019.1	-1,19926600961636
Niben261Chr14g0808008.1	-3,90765128378765
Niben261Chr15g1003001.1	-2,62567653400669
Niben261Chr03g0999006.1	-2,4449661454011
Niben261Chr01g0894018.1	-1,46931701975745
Niben261Chr09g1015006.1	-3,11328703541742
Niben261Chr01g0714004.1	-4,98578332647882
Niben261Chr01g1364017.1	-2,98851983651143
Niben261Chr03g0059001.1	-1,81667719949541
Niben261Chr04g0615001.1	-5,85001777516796
Niben261Chr13g0686007.1	-4,75141603491444
Niben261Chr14g0807008.1	-1,4217221660214
Niben261Chr03g0023040.1	-2,24793126199023
Niben261Chr16g0906014.1	-3,43182912328538
Niben261Chr06g1031019.1	-2,47204169896745
Niben261Chr18g0944002.1	-4,63434394296433
Niben261Chr19g1478009.1	-5,0980575489405
Niben261Chr03g0059002.1	-2,34651038172409
Niben261Chr16g0350012.1	-3,00039658499031
Niben261Chr10g0129001.1	4,10659118466145
Niben261Chr10g0178016.1	-2,18037590776832
Niben261Chr16g0434017.1	-2,49223570580195
Niben261Chr08g0193001.1	-5,68124891645865
Niben261Chr09g0857002.1	-2,12097484765552
Niben261Chr02g0408003.1	-2,41811211429604
Niben261Chr08g1346007.1	0,896259899539608
Niben261Chr14g0807016.1	-1,47415252143763
Niben261Chr15g0613010.1	-1,84931140300381
Niben261Chr11g0320003.1	-2,11680767310097
Niben261Chr18g1377001.1	-3,55306505147276
Niben261Chr06g0433008.1	2,9183794218266
Niben261Chr14g0579002.1	-1,69949712888825
Niben261Chr07g0683004.1	-1,44492848384665
Niben261Chr09g1113018.1	-4,11163052693407
Niben261Chr13g0649001.1	-2,44468731685964
Niben261Chr04g1894003.1	-5,13000967304777
Niben261Chr08g0017019.1	-4,39924432140874
Niben261Chr19g0386008.1	-3,31471935965352
Niben261Chr11g0201021.1	-7,07389045382553
Niben261Chr08g0455007.1	-4,28118028318398
Niben261Chr04g1093007.1	-1,26497238834235
Niben261Chr15g0265007.1	-2,42084513650163
Niben261Chr17g0022005.1	-5,36888898158757
Niben261Chr03g0209001.1	-1,1719607462536
Niben261Chr04g1789009.1	-4,58217043976498
Niben261Chr11g0688007.1	-1,65377173672074
Niben261Chr06g1413003.1	-3,75412140847968
Niben261Chr15g1512008.1	-2,01681804039201
Niben261Chr15g0589001.1	-1,9069290277567
Niben261Chr05g0829006.1	-1,66612461723296
Niben261Chr15g0447006.1	-2,80704890884799
Niben261Chr14g0976002.1	-1,56294012938067
Niben261Chr04g1635011.1	-1,94701659674239
Niben261Chr03g0121001.1	-1,72392480682643
Niben261Chr12g1028009.1	-4,18947857367282
Niben261Chr02g0093002.1	2,37202760060219
Niben261Chr06g0903016.1	-1,33018226683876
Niben261Chr12g1569020.1	-4,31312740817002
Niben261Chr07g1444001.1	-2,02666370869852
Niben261Chr10g0232005.1	-2,21997834781549
Niben261Chr06g1470008.1	-3,02464985808156
Niben261Chr13g0585004.1	-3,27347318455427
Niben261Chr01g0733005.1	-2,50100936491115
Niben261Chr09g1006014.1	-4,08666376985002
Niben261Chr04g0685003.1	-8,09236870579149
Niben261Chr15g1436013.1	-1,44590578669848
Niben261Chr07g0378025.1	-4,32110859144847
Niben261Chr14g0436005.1	-3,64435865885554
Niben261Chr05g0190002.1	2,49006730032497
Niben261Chr02g0711010.1	-5,7778434167256
Niben261Chr02g0789009.1	-3,47231793243541
Niben261Chr01g1652004.1	-1,13220932041304
Niben261Chr18g1227005.1	-1,88858730779309
Niben261Chr09g0721008.1	-2,02624848096794
Niben261Chr18g1448010.1	-7,86591970091304
Niben261Chr10g1067024.1	-3,47908419556611
Niben261Chr19g1105009.1	-1,38978951839105
Niben261Chr16g0915012.1	-3,39920337045347
Niben261Chr11g1394002.1	-3,30270511687605
Niben261Chr05g1135002.1	-1,67203804784664
Niben261Chr19g0094021.1	-1,28210687726291
Niben261Chr08g0445003.1	-5,86352101004399
Niben261Chr07g0378026.1	-4,62240540393663
Niben261Chr08g1252001.1	-3,44185130281666
Niben261Chr09g1113002.1	-3,15763175121578
Niben261Chr01g0495008.1	-1,24486657302972
Niben261Chr05g0168014.1	-5,32670441675329
Niben261Chr15g1380006.1	-1,19554770510447
Niben261Chr16g0430012.1	2,91462462607917
Niben261Chr08g0455001.1	-4,33785938472533
Niben261Chr18g0985010.1	-4,6309260144279
Niben261Chr09g0497001.1	-0,876101432976105
Niben261Chr03g0183006.1	-1,29837405333304
Niben261Chr06g0052009.1	-3,61899994295662
Niben261Chr08g0634013.1	-7,52710643529554
Niben261Chr16g1185001.1	-1,36909594526708
Niben261Chr08g0309009.1	-2,41076884393147
Niben261Chr14g0635005.1	-0,859592789656195
Niben261Chr14g0974005.1	-1,3233423536872
Niben261Chr03g1491010.1	-3,38045684413826
Niben261Chr01g0350004.1	-7,36776163284573
Niben261Chr02g0283023.1	-1,00368664459487
Niben261Chr08g0634012.1	-7,75863143689926
Niben261Chr11g0432011.1	-3,67435886301481
Niben261Chr16g1420015.1	-1,3420720858279
Niben261Chr14g0047009.1	-1,50867413439998
Niben261Chr07g1118002.1	2,03918781433182
Niben261Chr14g0656001.1	1,16592535295999
Niben261Chr04g1287004.1	-1,84441658534379
Niben261Chr13g0211018.1	-1,59598019099589
Niben261Chr04g1808011.1	-2,26258728048168
Niben261Chr08g1116002.1	-2,2766062011354
Niben261Chr12g0579007.1	-5,6149192929727
Niben261Chr06g0990008.1	-7,17729181856989
Niben261Chr13g0830018.1	0,755802309057046
Niben261Chr02g0314006.1	-1,67909061426552
Niben261Chr16g1429012.1	-7,30055417950905
Niben261Chr10g0307006.1	2,9077400114473
Niben261Chr01g0085001.1	-1,35754403029587
Niben261Chr14g1315009.1	-6,80183552744707
Niben261Chr19g0709003.1	-1,39432465154641
Niben261Chr07g0378013.1	-4,23447952368513
Niben261Chr14g0553002.1	-2,10299846688277
Niben261Chr09g1195001.1	-1,21391217383771
Niben261Chr07g1020004.1	-3,05679217157634
Niben261Chr06g1467002.1	7,51967893210428
Niben261Chr08g0933002.1	-2,06298237331201
Niben261Chr12g0284004.1	-1,50872151252593
Niben261Chr12g0714002.1	-1,78462787580756
Niben261Chr15g0723010.1	1,1614400088903
Niben261Chr11g1361010.1	-3,54277069366996
Niben261Chr05g1113011.1	-1,36996111992601
Niben261Chr09g0308012.1	-6,15422210548381
Niben261Chr01g1134008.1	-2,94868804277509
Niben261Chr09g1093015.1	-3,41607148868075
Niben261Chr17g0634017.1	-1,57128919252296
Niben261Chr02g0561009.1	-2,57036513115994
Niben261Chr10g1185008.1	1,95308020924425
Niben261Chr08g0959009.1	-1,89437690069776
Niben261Chr17g0704004.1	-7,02289431933357
Niben261Chr17g1538007.1	-1,42551455039488
Niben261Chr01g0689001.1	-2,14409758509728
Niben261Chr16g0588007.1	-3,71384978825374
Niben261Chr12g0194004.1	2,45590990153074
Niben261Chr14g0365006.1	-2,54735794192244
Niben261Chr15g1142001.1	-2,4667154839069
Niben261Chr13g0726008.1	-2,15426074888435
Niben261Chr04g1681006.1	-7,51317432387323
Niben261Chr12g1569021.1	-4,2978443592629
Niben261Chr04g0471002.1	-3,82706272398206
Niben261Chr07g0366006.1	-7,01738760326098
Niben261Chr02g0948003.1	-1,25060793975472
Niben261Chr05g0690005.1	-3,26872612300826
Niben261Chr01g1463001.1	-0,8974026547703
Niben261Chr15g1380016.1	-1,54063932462634
Niben261Chr18g1388003.1	-0,932430050647445
Niben261Chr16g0473003.1	-1,99698833053476
Niben261Chr15g0702022.1	-0,705001570735979
Niben261Chr03g1183011.1	-2,37908487134385
Niben261Chr14g0607006.1	-2,75346590801501
Niben261Chr19g0648010.1	-2,0726688400324
Niben261Chr02g0455001.1	-6,64215750442097
Niben261Chr11g0888007.1	-1,77584313667144
Niben261Chr19g0102007.1	2,59153165028108
Niben261Chr03g1081002.1	-3,41739098991743
Niben261Chr11g1310006.1	-2,64866119152134
Niben261Chr05g1348002.1	-0,86797874249329
Niben261Chr09g0210009.1	-1,35216215861825
Niben261Chr17g1291020.1	-2,27916124436028
Niben261Chr14g0301001.1	-1,47485788251502
Niben261Chr16g0181011.1	3,76163922635833
Niben261Chr14g0621005.1	-3,24650663675671
Niben261Chr02g0155007.1	-1,81645357085426
Niben261Chr13g0959002.1	-1,66109675331733
Niben261Chr06g0443002.1	-1,10091824153994
Niben261Chr12g0020003.1	-6,01508529988905
Niben261Chr04g0239010.1	0,875559568972
Niben261Chr02g0750004.1	-3,36422085028443
Niben261Chr10g1008010.1	-1,0978350444467
Niben261Chr10g0111008.1	-1,76527460489782
Niben261Chr19g0919004.1	-1,44245752624694
Niben261Chr08g1361002.1	-1,24404148149992
Niben261Chr14g0997003.1	-6,42250300625842
Niben261Chr04g0418026.1	-1,0777513624662
Niben261Chr17g0161003.1	-2,60405792004505
Niben261Chr15g0628012.1	-2,56916973219898
Niben261Chr09g0140003.1	-1,92387555163436
Niben261Chr07g1035001.1	-3,274281021853
Niben261Chr06g0688010.1	-6,13007826423978
Niben261Chr17g1536002.1	-2,05664423329261
Niben261Chr16g0297007.1	4,31047125409226
Niben261Chr06g0990010.1	-3,99805725217071
Niben261Chr03g0218002.1	1,12182272727271
Niben261Chr18g0746001.1	-4,18431197918277
Niben261Chr14g0982014.1	-0,643686158169611
Niben261Chr04g0760005.1	0,878614868899034
Niben261Chr08g1099004.1	-5,12162813582693
Niben261Chr13g0357002.1	-1,68525309211299
Niben261Chr03g0822026.1	-6,43594544002666
Niben261Chr18g0639004.1	1,71406847855319
Niben261Chr11g0375002.1	-2,35069275885617
Niben261Chr05g1135010.1	-1,73171346963966
Niben261Chr04g1686003.1	-2,19526119728414
Niben261Chr11g1326020.1	-2,6280846933403
Niben261Chr08g1141004.1	-5,25237364181198
Niben261Chr19g1350017.1	-6,27893958703311
Niben261Chr01g1080014.1	-1,71458719756137
Niben261Chr07g0724002.1	-0,824757831140002
Niben261Chr13g0287001.1	-1,95334526464713
Niben261Chr04g0266004.1	-1,26391613393751
Niben261Chr03g0273006.1	-1,3577207378625
Niben261Chr03g1806007.1	-0,991011026258953
Niben261Chr08g0344008.1	1,27029336676471
Niben261Chr02g0723002.1	-6,28297700391601
Niben261Chr15g1170010.1	1,52271580695162
Niben261Chr03g0053012.1	-1,77961316421495
Niben261Chr03g0122016.1	-1,20620791736632
Niben261Chr10g0003002.1	1,51633488583691
Niben261Chr17g0374007.1	0,667200962841248
Niben261Chr03g0916010.1	1,59475049538326
Niben261Chr14g0199002.1	-3,74103916392912
Niben261Chr01g0911003.1	-0,913170940720102
Niben261Chr19g0546001.1	-1,79458083415087
Niben261Chr07g0121010.1	-1,69097027284606
Niben261Chr11g0029011.1	-1,41378623499143
Niben261Chr17g1144003.1	-0,878087053968701
Niben261Scf13210g0000001.1	-1,15837755880419
Niben261Chr14g1489006.1	0,694953366967372
Niben261Chr09g1046007.1	1,48817920187407
Niben261Chr09g0721003.1	-1,70902643598689
Niben261Chr13g1433002.1	-6,05587555611606
Niben261Chr03g1204001.1	-1,73610771352491
Niben261Chr14g0490004.1	-1,5412186054751
Niben261Chr03g0035008.1	-4,0203039579348
Niben261Chr09g0543002.1	-1,24443245854544
Niben261Chr02g0352004.1	-0,622069033231301
Niben261Chr16g0049001.1	-3,07806218818319
Niben261Chr18g0085011.1	-0,829965329591498
Niben261Chr01g0581003.1	-5,94370353718656
Niben261Chr14g1523006.1	-3,2543780455251
Niben261Chr05g1061014.1	-1,08850318295238
Niben261Chr06g0733013.1	-4,47769884608788
Niben261Chr02g0723012.1	-5,64668598334898
Niben261Scf15903g0000001.1	-7,78468871633219
Niben261Chr13g1143001.1	-2,06665183310209
Niben261Chr06g0560011.1	-2,83116525654231
Niben261Chr15g0785007.1	-2,11598227576091
Niben261Chr03g0822044.1	1,48658101848596
Niben261Chr06g0562007.1	1,19327471718206
Niben261Chr08g0959008.1	-2,02538555537111
Niben261Chr05g1347001.1	-2,39198696735987
Niben261Chr10g1298004.1	-1,53837240464462
Niben261Chr13g1252003.1	-1,05933274402895
Niben261Chr09g1281028.1	0,630557178002495
Niben261Chr16g0242016.1	3,10704496760253
Niben261Chr13g0958009.1	0,590517850704485
Niben261Chr07g1371003.1	-3,66216469819359
Niben261Chr04g0059015.1	-1,03848011799218
Niben261Chr18g0122003.1	-1,79266841298639
Niben261Chr01g1565004.1	1,25223072415146
Niben261Chr06g1467010.1	6,68274955543788
Niben261Chr06g0990009.1	-3,3072613479196
Niben261Chr02g0878007.1	-2,77656123533202
Niben261Chr15g1380002.1	-1,31550936254421
Niben261Chr02g0315004.1	2,17431147122666
Niben261Chr14g0544012.1	-0,69847921408536
Niben261Chr02g0739004.1	-1,4343185224011
Niben261Chr10g0164002.1	-5,83655246525514
Niben261Chr05g0781012.1	-0,834903774651453
Niben261Chr01g0461001.1	0,784790724276805
Niben261Chr14g0947001.1	-4,86650697654295
Niben261Chr08g1138004.1	-0,619723406285927
Niben261Chr01g1269015.1	6,33325393157675
Niben261Chr15g0715003.1	-1,43530561443711
Niben261Chr07g0271005.1	-5,44048029742876
Niben261Chr06g0899007.1	-0,668390489848675
Niben261Chr10g0462006.1	1,17567756099166
Niben261Chr03g0545004.1	-5,73332318478525
Niben261Chr14g0849004.1	-1,04624002173282
Niben261Chr07g1369022.1	-1,89223211089441
Niben261Chr01g0877001.1	-0,781601185591749
Niben261Chr10g0377002.1	1,55579946938137
Niben261Chr12g0058005.1	-1,12303240157463
Niben261Chr04g0210001.1	-1,38627719869616
Niben261Chr15g1477001.1	-0,636113964534376
Niben261Chr09g0153003.1	-3,92371463692826
Niben261Chr03g0390004.1	-4,45938355228422
Niben261Chr15g1512010.1	-1,11323441808827
Niben261Chr03g1930011.1	-3,1729308359142
Niben261Chr07g1465002.1	-0,963317350367498
Niben261Chr19g0265003.1	-1,11822771032345
Niben261Chr04g0660004.1	-4,56938365122738
Niben261Chr09g0524003.1	-5,68719573717719
Niben261Chr19g0927009.1	-1,79389889378436
Niben261Chr03g1329003.1	-1,60121252864823
Niben261Chr07g0086001.1	1,53344076743403
Niben261Chr03g1294006.1	-0,77680908045648
Niben261Chr01g1363012.1	1,10608454452658
Niben261Chr10g1106011.1	-1,65706768742286
Niben261Chr03g1132010.1	-3,45116026919635
Niben261Chr17g0634005.1	-1,59373415255496
Niben261Chr16g0529004.1	-0,697901400455755
Niben261Chr10g1120003.1	-0,841897499395517
Niben261Chr09g1327001.1	-1,08239562021481
Niben261Chr02g1447006.1	2,80412255951407
Niben261Chr14g0099003.1	-3,597779943971
Niben261Chr16g0087003.1	1,57283220444844
Niben261Chr03g0287036.1	-1,72384603784853
Niben261Chr06g1414003.1	-1,85921987786088
Niben261Chr01g0547003.1	-1,01534653650384
Niben261Chr15g1444020.1	-2,20395616631815
Niben261Chr07g0756026.1	-0,982118759603551
Niben261Chr13g0866003.1	-0,95771781584183
Niben261Chr03g1904002.1	3,10543212916243
Niben261Chr01g1430002.1	-1,78887867183905
Niben261Chr08g0063009.1	-0,810523757019013
Niben261Chr07g1203006.1	-0,60498122755528
Niben261Chr04g1538002.1	-1,83265335746361
Niben261Chr12g0785023.1	-0,851689121400307
Niben261Chr18g0747001.1	-0,613903298612153
Niben261Chr17g1529001.1	-1,76953931767948
Niben261Chr13g0060013.1	1,0294825122566
Niben261Chr15g1006009.1	-5,51477928968477
