Name	pcrtBBB_vs_GFPBB_filtered
Niben261Chr03g1491011.1	-4,91378413495004
Niben261Chr12g0008007.1	-5,45710824145768
Niben261Chr04g1789009.1	-4,78435500636703
Niben261Chr07g0378012.1	-5,20339400368949
Niben261Chr07g0378013.1	-5,81616548632716
Niben261Chr13g1031030.1	-5,87611527535922
Niben261Chr14g0950012.1	-4,84410108585312
Niben261Chr10g0377012.1	5,49703719295746
Niben261Chr01g1430002.1	-5,34924051509816
Niben261Chr10g0540006.1	-6,8148908033773
eGFP:mRNA	-3,47984207050347
Niben261Chr10g1108005.1	-5,2856325724074
Niben261Chr16g1258002.1	4,90519575593927
Niben261Chr08g0455007.1	-5,6297010907555
Niben261Chr13g0686007.1	-4,00291607197966
Niben261Chr14g0208010.1	-6,00792289665102
Niben261Chr15g1457008.1	-6,85580675855853
Niben261Chr13g1166005.1	-2,71148349029002
Niben261Chr08g1252001.1	-6,48880166798287
Niben261Chr08g0455001.1	-5,25090608446757
Niben261Chr06g0433008.1	4,69599644911748
Niben261Chr16g0430012.1	5,33540120262545
Niben261Chr08g0313002.1	5,44978692630883
Niben261Chr11g1361010.1	-5,61235005221949
Niben261Chr17g1283002.1	-2,57260829256275
Niben261Chr10g0377002.1	5,86756947142915
Niben261Chr08g0933002.1	-2,45500300864286
Niben261Chr06g1031019.1	-2,35531609376734
Niben261Chr13g0649001.1	-2,21288538045387
Niben261Chr18g0944002.1	-4,76241069368589
Niben261Chr12g1569022.1	-5,18335889303298
Niben261Chr07g1035001.1	-5,15933051740715
Niben261Chr01g1134008.1	-4,45710936300717
Niben261Chr04g1336006.1	5,09181145262666
Niben261Chr11g1389005.1	-4,09745547153158
Niben261Chr16g0915012.1	-3,39407548588076
Niben261Chr06g0506008.1	-4,61597748157926
Niben261Chr11g1394002.1	-3,57805164358244
Niben261Chr13g1252003.1	-1,4808561783321
Niben261Chr07g1118002.1	4,52658827052428
Niben261Chr13g1031007.1	-5,74521122789528
Niben261Chr04g1664002.1	-1,97488479832023
Niben261Chr17g0115007.1	8,19577963745639
Niben261Chr03g0273006.1	-2,25850696702985
Niben261Chr14g0807016.1	-1,77764465476219
Niben261Chr02g0315004.1	4,29038595038558
Niben261Chr10g1199005.1	1,97918569214702
Niben261Chr06g0068005.1	4,64878555077545
Niben261Chr15g1003001.1	-2,46861986618307
Niben261Chr06g1363022.1	4,04257953110396
Niben261Chr01g0894018.1	-1,72876009409281
Niben261Chr18g1227005.1	-2,13653240322738
Niben261Chr18g1066021.1	-1,74227026784643
Niben261Chr11g0949004.1	-2,16406661799304
Niben261Chr15g0661008.1	4,76284672405048
Niben261Chr06g0368012.1	-5,0297403780948
Niben261Chr15g0661009.1	2,94538148436683
Niben261Chr07g0054006.1	3,42454317736722
Niben261Chr15g1142001.1	-3,55387522749169
Niben261Chr03g0774007.1	4,80276598388858
Niben261Chr12g0843011.1	2,61965572651613
Niben261Chr14g0431002.1	-2,00338484781472
Niben261Chr12g1127003.1	4,28888216255778
Niben261Chr02g0561009.1	-2,27486826685775
Niben261Chr10g0286014.1	-2,47579348489179
Niben261Chr08g0758003.1	4,60546646383331
Niben261Chr02g0458008.1	-2,65268347392426
Niben261Chr13g1429005.1	-2,93934244595467
Niben261Chr08g0466006.1	2,6174406519555
Niben261Chr02g0789009.1	-2,90105989799582
Niben261Chr14g0621005.1	-3,57834535727948
Niben261Chr07g0159002.1	-6,65750627772948
Niben261Chr03g1930011.1	-2,70072133035902
Niben261Chr13g1250002.1	-8,40901919053326
Niben261Chr14g0719012.1	1,67400512463147
Niben261Chr06g0561011.1	-1,52499993239994
Niben261Chr08g0313003.1	6,49659040497551
Niben261Chr03g0183006.1	-1,26344055931268
Niben261Chr13g1261011.1	-1,51101913135959
Niben261Chr18g0639004.1	3,04432194765476
Niben261Chr06g0932002.1	1,61761511972183
Niben261Scf01441g0000001.1	-2,52757126024675
Niben261Chr01g0495008.1	-1,11029044057605
Niben261Chr17g0171009.1	-2,03953436621031
Niben261Chr16g0588007.1	-6,02814433698793
Niben261Chr03g1081001.1	-1,94922564085197
Niben261Chr02g0919011.1	-5,24476120054832
Niben261Chr16g0457012.1	1,97606434168977
Niben261Chr15g0613010.1	-1,75788643492645
Niben261Chr03g0121001.1	-1,49108958273114
Niben261Chr17g1223001.1	-3,00754528994659
Niben261Chr18g0858015.1	-3,35462082305027
Niben261Chr02g0155007.1	-1,83450924299103
Niben261Chr02g1343006.1	3,84359410616435
Niben261Chr11g0963001.1	1,75928578997025
Niben261Chr07g0989006.1	6,48185025371105
Niben261Chr16g0398018.1	-1,48437055335788
Niben261Chr15g0891005.1	4,165258484925
Niben261Chr01g1152002.1	-1,42781850446671
Niben261Chr06g0182027.1	3,82900197690222
Niben261Chr13g1197002.1	8,12092835782342
Niben261Chr02g0780007.1	3,7625223198962
Niben261Chr03g1904002.1	3,11191980772791
Niben261Chr02g0774004.1	-3,53672890465035
Niben261Chr02g0092006.1	1,77422753151822
Niben261Chr04g0107026.1	-1,27853314699703
Niben261Chr04g1093007.1	-1,80724592468366
Niben261Chr09g1169009.1	3,55479239068085
Niben261Chr02g1423002.1	-1,90781744494053
Niben261Chr03g1491010.1	-3,21416555076643
Niben261Chr01g1238008.1	-1,93430342916168
Niben261Chr10g0135007.1	6,36319841625931
Niben261Chr14g1192003.1	-1,5574553633689
Niben261Chr02g0148001.1	-1,91579863351077
Niben261Chr09g0776019.1	-2,18456641509055
Niben261Chr09g0210009.1	-1,99074155254897
Niben261Chr13g0107001.1	2,77388107921508
