Name	pcrtBZZ_vs_GFPZZ_filtered
Niben261Chr06g1077002.1	0,79322758062062
Niben261Chr17g1144003.1	-0,793584941626832
Niben261Chr13g1197002.1	4,89036822806912
Niben261Chr09g0396007.1	1,23124048867777
Niben261Chr06g0733013.1	-4,11646425969055
Niben261Chr09g1038015.1	1,71301221498051
Niben261Chr09g1281028.1	0,598302666624086
Niben261Chr13g0733024.1	-1,04782197955575
Niben261Chr06g1254010.1	-0,804897454521777
Niben261Chr07g1369022.1	-1,89516474411911
Niben261Chr04g1808011.1	-2,06529670113521
Niben261Chr12g0492008.1	2,90695795026973
Niben261Chr15g0628012.1	-2,55575890114842
Niben261Chr15g0613014.1	1,05481274303925
Niben261Chr19g1034001.1	0,599368806601606
Niben261Chr09g0958009.1	-1,42202000320831
Niben261Chr12g0137009.1	0,706921177445727
Niben261Chr04g0418026.1	-0,965174933172452
Niben261Chr05g0477010.1	1,86907728383853
Niben261Chr15g0612001.1	1,02468734903571
Niben261Chr04g0760005.1	0,837890256749427
Niben261Chr13g0001009.1	-0,764767095942224
Niben261Chr03g1344002.1	-1,21184775301455
Niben261Chr10g0858018.1	-0,753956667205281
Niben261Chr14g0181003.1	-0,638496076216128
Niben261Chr15g0785007.1	-1,82653594296807
Niben261Chr06g0024009.1	1,67826184572733
Niben261Chr10g1360003.1	-6,05237117675658
Niben261Chr18g1223015.1	0,947905507552905
Niben261Chr03g0099007.1	1,00058214879117
Niben261Chr01g1155013.1	-1,48344171832066
Niben261Chr19g1137015.1	-0,588010596443769
Niben261Chr10g0513003.1	0,613561639465427
Niben261Chr07g1296012.1	1,45726196392522
Niben261Chr17g0004017.1	-1,01051792945912
Niben261Chr02g0807015.1	-0,747069315432088
Niben261Chr08g0181020.1	-0,69574251194022
Niben261Chr13g1252003.1	-0,973057197042061
Niben261Chr10g0463004.1	1,80106686115681
Niben261Chr03g0023003.1	-1,14444516474515
Niben261Chr08g0441002.1	0,597251074758641
Niben261Chr12g0049014.1	0,734995088261262
Niben261Chr08g0430007.1	-0,888008241827428
Niben261Chr07g1184002.1	-1,03973674129191
Niben261Chr15g0358003.1	0,648526445266166
Niben261Chr09g0524003.1	-5,51883551467762
Niben261Chr03g0409007.1	1,09974015907457
Niben261Scf09669g0000002.1	1,03129393269825
Niben261Chr01g1581015.1	1,05362217700961
Niben261Chr02g1147004.1	1,70122037394628
Niben261Chr01g1352005.1	-1,70161429573903
Niben261Chr03g0287036.1	-1,35913583705133
Niben261Chr11g1368011.1	-0,977979554597577
Niben261Chr07g1203006.1	-0,731244870765398
Niben261Chr13g1034008.1	-1,06559823339323
Niben261Chr05g0084016.1	0,772663787713203
Niben261Chr14g0755006.1	-0,716182858124508
Niben261Chr08g0089001.1	0,598695906742107
Niben261Chr14g1147006.1	1,00285384244599
Niben261Chr06g0443018.1	1,15096254790195
Niben261Chr10g0614006.1	-1,10083706359638
Niben261Chr19g0265003.1	-1,00713332726267
Niben261Chr09g1362004.1	0,807826839190679
Niben261Chr05g0824003.1	-3,88263088460471
Niben261Chr04g0062016.1	0,789625832680983
Niben261Chr08g0668005.1	-0,753570227679695
Niben261Chr08g0520018.1	-0,833897149612225
Niben261Chr17g0436002.1	2,57917607937444
Niben261Chr04g0223004.1	5,54020572397919
Niben261Chr19g0620002.1	0,747561389006952
Niben261Chr07g1465002.1	-0,847633000663294
Niben261Chr12g0596009.1	1,48123515645247
Niben261Chr15g1512010.1	-0,894861076866852
Niben261Chr18g1235004.1	0,778753969712679
Niben261Chr16g0881012.1	3,47803186090572
Niben261Chr13g0796002.1	-0,653882239691214
Niben261Chr19g0919003.1	-1,06141379260239
Niben261Chr03g0545004.1	-5,4218106616266
Niben261Chr10g0291011.1	0,940219208315769
Niben261Chr06g0535008.1	-0,909689728999536
Niben261Chr12g0226001.1	-0,705861324324826
Niben261Chr16g0224011.1	0,615059967630823
Niben261Chr13g0492014.1	-0,916303238420492
Niben261Chr10g0615005.1	-0,676564107142482
Niben261Chr04g1658010.1	-1,28298996609231
Niben261Chr07g1102012.1	0,859943322760862
Niben261Chr04g1368003.1	-0,737357979620894
Niben261Chr11g0891001.1	0,740348831914114
Niben261Chr05g0422002.1	0,731841907051041
Niben261Chr06g0095013.1	-0,727511989527508
Niben261Chr03g0555003.1	2,67340873540115
Niben261Chr14g1484004.1	-2,23617098597752
Niben261Chr03g0647001.1	-0,721987953389704
Niben261Chr07g1027009.1	-1,01299194229225
Niben261Chr03g0008024.1	-1,03252251102948
Niben261Chr08g0341006.1	-1,38414582805592
Niben261Chr11g0605002.1	0,99084545881233
Niben261Chr19g1378005.1	0,75454767767361
Niben261Chr10g0491001.1	1,98650800135887
Niben261Chr15g1212004.1	-2,2547304110187
Niben261Chr07g1055007.1	1,48070733072833
Niben261Chr13g0813007.1	0,808617062158482
Niben261Chr11g0998022.1	-0,637535784945763
