Name	pcrtB96h_vs_GFP96h_filtered
Niben261Chr01g1340011.1	4,06372041899241
Niben261Chr04g1789009.1	5,01851528617394
Niben261Chr07g0378012.1	3,51367943749801
Niben261Chr16g1121001.1	4,43262862141877
Niben261Chr12g0008007.1	4,44034720677735
Niben261Chr16g0884013.1	3,99775291151716
Niben261Chr08g0455007.1	3,26004068371526
Niben261Chr08g0199003.1	2,41331149758965
Niben261Chr09g1352028.1	-3,13476545013837
Niben261Chr09g0051006.1	2,41594182306339
Niben261Chr19g0094021.1	2,11965798647724
Niben261Chr12g0216014.1	2,39632672239928
Niben261Chr12g0201002.1	4,3858321890618
Niben261Chr10g0286014.1	2,26703544524134
Niben261Chr03g1491011.1	3,1347023211966
Niben261Chr14g0950012.1	2,97747153529527
Niben261Chr02g0314006.1	1,79061398390214
Niben261Chr19g1105009.1	2,02171125120566
Niben261Chr03g1930011.1	3,1214256606136
Niben261Chr10g1108005.1	3,04147965433954
Niben261Chr04g0210001.1	1,76376582455757
Niben261Chr11g1361010.1	2,38745629167826
Niben261Chr12g0785023.1	1,68008132033738
Niben261Chr14g0208010.1	4,3220383020737
Niben261Chr03g1491010.1	2,75437557070506
Niben261Chr10g1242013.1	-1,62493903141813
Niben261Chr17g1462001.1	1,61788124424618
Niben261Chr12g0084003.1	1,87316018809229
Niben261Chr09g1298001.1	-1,87024344217997
Niben261Chr09g0721003.1	1,89226449381985
Niben261Chr11g0350010.1	1,89218171356329
Niben261Chr01g0670002.1	3,11109786076538
Niben261Chr02g0948003.1	1,62554268174725
Niben261Chr12g0263003.1	2,42164246482229
Niben261Chr08g0341006.1	2,31906142409811
Niben261Chr06g0649009.1	2,177099778035
Niben261Chr09g0866011.1	1,62951773824544
Niben261Chr03g1511030.1	2,25065057911408
Niben261Chr13g0037004.1	1,7790367570039
Niben261Chr09g1327001.1	3,12838254370925
Niben261Chr08g0301024.1	1,53312533554141
Niben261Chr16g0503001.1	-2,63876350724754
Niben261Chr12g0230012.1	1,93808956488766
Niben261Chr01g1430002.1	5,28520441423977
Niben261Chr09g1331019.1	-1,59227939436923
Niben261Chr12g0664001.1	1,46110919927486
Niben261Chr03g0516007.1	1,89849688760012
Niben261Chr03g0076020.1	1,82029501948476
Niben261Chr18g0778002.1	1,71522651038901
Niben261Chr14g0579002.1	1,69032200236335
Niben261Chr12g1102024.1	1,53893655653297
Niben261Chr02g0481005.1	3,65061683146316
Niben261Chr06g1109009.1	1,83701316831215
Niben261Chr01g1068001.1	1,71030187394509
Niben261Chr06g0630014.1	1,63399713511094
Niben261Chr08g0589031.1	1,73701671022958
Niben261Chr08g0455001.1	2,97496943707529
Niben261Chr14g0807016.1	1,45834330254023
Niben261Chr05g1054005.1	1,43233173051579
Niben261Chr02g0766019.1	1,34789679357954
Niben261Chr05g1246002.1	2,36048533327582
Niben261Chr08g0161029.1	2,04883696123291
Niben261Chr05g0785016.1	2,12054668685271
Niben261Chr11g0230004.1	-2,63976855384648
Niben261Chr14g0478006.1	1,37770918357984
Niben261Chr09g0026013.1	3,66751770460016
Niben261Chr07g1230044.1	1,91231116058443
Niben261Chr13g1365004.1	-4,17251825430732
Niben261Chr15g0006002.1	2,0294090500071
Niben261Chr01g1651002.1	2,14106678612708
Niben261Chr04g1790009.1	1,54315418156081
Niben261Chr01g0010005.1	1,87763368650032
Niben261Chr07g1499001.1	2,10231910160226
Niben261Chr07g1085002.1	2,55089806492585
Niben261Chr14g0940010.1	3,97856019266382
Niben261Chr01g1704007.1	1,7645482061327
Niben261Chr14g0208013.1	1,68744435817799
Niben261Chr11g0867032.1	1,9378450616923
Niben261Chr14g1532011.1	-1,34165251325614
Niben261Chr10g0344010.1	2,14588730706616
Niben261Chr10g1002010.1	1,43046129631214
Niben261Chr06g1107031.1	1,7473056988047
Niben261Chr13g1052011.1	1,79575671281663
Niben261Chr09g1065008.1	2,06289892072265
Niben261Chr01g1835005.1	1,48761396216344
Niben261Chr15g1048001.1	3,0156907360977
Niben261Chr16g0884007.1	4,4108898978646
Niben261Chr05g0183001.1	2,78420304200235
Niben261Chr03g1692007.1	1,77560568568201
Niben261Chr01g0083001.1	-1,58455516385502
Niben261Chr01g0169015.1	-1,20024319144447
Niben261Chr19g0022003.1	2,05475533333493
Niben261Chr19g0496004.1	1,63661301947723
Niben261Chr13g0659016.1	1,78406073449697
Niben261Chr07g1447023.1	1,3168553092838
Niben261Chr04g1538015.1	1,71501395041548
Niben261Chr03g1204001.1	1,60813451321212
Niben261Chr06g0095051.1	4,06532526892141
Niben261Chr19g0260001.1	1,4411025910485
Niben261Chr10g0559001.1	1,5471964398726
Niben261Chr14g0135012.1	2,38070992001992
Niben261Chr17g1170011.1	-1,48344875830124
Niben261Chr06g0638015.1	1,53234548714245
Niben261Chr06g0532019.1	1,83093449033133
Niben261Chr06g0967003.1	2,24135825197201
Niben261Chr14g0722006.1	2,0285495754298
Niben261Chr13g0193007.1	1,1309388579663
Niben261Chr17g0038013.1	1,29601991611689
Niben261Chr04g1600008.1	2,39923684722155
Niben261Chr17g0843007.1	1,86461979141117
Niben261Chr16g0966001.1	2,32024306792201
Niben261Chr08g0274011.1	1,20607682793803
Niben261Chr07g1492018.1	1,16384484137403
Niben261Chr18g0239014.1	2,10394710938778
Niben261Chr16g1359012.1	1,28172686135096
Niben261Chr07g0480003.1	2,16185197329821
Niben261Chr19g0121023.1	1,87174307618475
Niben261Chr12g0257004.1	1,43637778386937
Niben261Chr03g1460001.1	1,68293549218651
Niben261Chr09g0736005.1	1,44724196338535
Niben261Chr07g0000008.1	-1,94819530774708
Niben261Chr09g0049007.1	-1,70769934078807
Niben261Chr01g1124005.1	2,19904874725578
Niben261Chr04g1093007.1	1,40571017552566
Niben261Chr14g1341018.1	1,45327180673834
Niben261Chr12g0581002.1	1,27994549567774
Niben261Chr01g0461001.1	1,82575320292251
Niben261Chr02g1175005.1	3,90464987436042
Niben261Chr06g0606008.1	1,41944676140845
Niben261Chr11g1389005.1	3,03306539539928
Niben261Chr03g1826003.1	1,92900899156131
Niben261Chr05g0856006.1	1,38384089557322
Niben261Chr14g0198005.1	1,94925317413982
Niben261Chr17g1089003.1	-1,39670793910731
Niben261Chr16g0473003.1	1,23342600808371
Niben261Chr03g0273006.1	1,57276183596714
Niben261Chr02g0347021.1	1,76088048019364
Niben261Chr04g0292014.1	1,77559777472229
Niben261Chr16g0006006.1	1,33431320617127
Niben261Chr08g0301018.1	1,73326024539658
Niben261Chr19g0621006.1	4,13986434519338
Niben261Chr07g0379001.1	1,68019561778008
Niben261Chr16g0166003.1	-1,29761073651154
Niben261Chr01g1478005.1	1,04784609063078
Niben261Chr16g0345002.1	1,33695770104153
Niben261Chr13g1101002.1	-2,57012271893516
Niben261Chr10g0427006.1	1,28938900239679
Niben261Chr09g1304004.1	1,76319773785997
Niben261Chr07g0378013.1	3,18214949033872
Niben261Chr04g1543007.1	1,1977131420606
Niben261Chr15g0213002.1	1,54759489275462
Niben261Chr17g0868004.1	-1,07817383443739
Niben261Chr12g0642006.1	1,16531073548679
Niben261Chr19g0858002.1	-1,42259312503594
Niben261Chr12g0750008.1	-1,07561164210895
Niben261Chr19g0780006.1	1,62534130105446
Niben261Chr14g1346001.1	1,47294611173698
Niben261Chr10g1096035.1	1,49378927749972
Niben261Chr01g0296010.1	1,14435486918657
Niben261Chr19g0665006.1	1,51504558439867
Niben261Chr04g1782004.1	1,82263313032584
Niben261Chr02g0557002.1	1,10670845457467
Niben261Chr14g1173013.1	1,79876290321206
Niben261Chr17g0947003.1	-1,25342598509416
Niben261Chr06g0367001.1	1,40390251197383
Niben261Chr03g1330011.1	1,133062532098
Niben261Chr12g0373010.1	-1,20132589223149
Niben261Chr16g0981020.1	1,20658930512125
Niben261Chr06g0203002.1	1,17685866493471
Niben261Chr01g1134008.1	1,60823248282112
Niben261Chr15g0613010.1	1,4286407182232
Niben261Chr19g1359006.1	1,69890342282336
Niben261Chr05g0481003.1	2,35452896120435
Niben261Chr06g0443002.1	1,14113778736753
Niben261Chr06g0750014.1	1,4632722748587
Niben261Chr01g1780003.1	1,94753506930235
Niben261Chr08g0063009.1	1,08697041447067
Niben261Chr19g1075015.1	2,03757643754943
Niben261Chr10g0107005.1	1,29339705386399
Niben261Chr07g1303016.1	3,24584192187536
Niben261Chr04g1656001.1	1,64159290682957
Niben261Chr02g0493018.1	1,23134524762715
Niben261Chr18g0122003.1	1,69717115577325
Niben261Chr10g0071011.1	1,75922741778742
Niben261Chr06g1414003.1	1,39234428713346
Niben261Chr05g0688002.1	1,72275350147179
Niben261Chr08g0008031.1	1,3550768624052
Niben261Chr03g0186007.1	1,04572599375772
Niben261Chr05g0678001.1	2,51158388598613
Niben261Chr09g1076010.1	1,2125800696166
Niben261Chr07g0996014.1	1,24011220979236
Niben261Chr17g1369010.1	1,25701237899811
Niben261Chr13g0874014.1	1,59743505035773
Niben261Chr02g1336001.1	1,58191525256312
Niben261Chr02g0778010.1	1,75106177749089
Niben261Chr16g0410027.1	1,25631768434669
Niben261Chr03g1291005.1	1,15919459043249
Niben261Chr03g0002005.1	1,24397526239256
Niben261Chr02g0541002.1	1,52571633937769
Niben261Chr12g0524011.1	1,68444662203797
Niben261Chr16g1171011.1	1,32501536411311
Niben261Chr13g1329006.1	1,12965316089176
Niben261Chr09g0022012.1	4,04946576096608
Niben261Chr12g0502005.1	1,67275266838684
Niben261Chr02g0532031.1	1,11347964344106
Niben261Chr10g0821006.1	1,26083576164593
Niben261Chr08g1003002.1	1,47046082040852
Niben261Chr03g0045006.1	-0,992807260342671
Niben261Chr19g0589012.1	1,48542583820809
Niben261Chr04g0553013.1	-1,12232844756485
Niben261Chr09g1098006.1	1,36287882010853
Niben261Chr11g0699023.1	-1,21153635095227
Niben261Chr15g1239006.1	1,21694333421491
Niben261Chr16g0832003.1	-1,20093110363138
Niben261Chr12g0233011.1	1,10314374113904
Niben261Chr04g0820005.1	-0,955852873613365
Niben261Chr10g0540006.1	4,16539208499897
Niben261Chr19g0102008.1	1,07121073097261
Niben261Chr01g0693007.1	1,42794225786094
Niben261Chr01g0460004.1	1,31555709981005
Niben261Chr05g0761005.1	1,13958309635851
Niben261Chr04g1547019.1	1,99943595643635
Niben261Scf01200g0000006.1	1,03526828161167
Niben261Chr10g0283017.1	-1,42328141206488
Niben261Chr13g1023003.1	1,30852517934265
Niben261Chr19g0928011.1	1,12102230124443
Niben261Chr12g0477002.1	1,34930329956808
Niben261Chr09g1226014.1	2,82550237699012
Niben261Chr12g1197011.1	1,41123707394313
Niben261Chr07g0378025.1	3,06293589474535
Niben261Chr12g1406001.1	2,08826828739568
Niben261Chr08g0408001.1	1,23615584308179
Niben261Chr11g0998022.1	1,43605211295001
Niben261Chr10g0473012.1	1,20654696837607
Niben261Chr13g0867006.1	1,07851566603835
Niben261Chr08g0135020.1	1,25615016162035
Niben261Chr04g0126010.1	1,36803247799228
Niben261Chr10g0262012.1	-1,19677882178638
Niben261Chr08g0068001.1	1,12873688005693
Niben261Chr11g0517002.1	1,25889350947985
Niben261Chr19g0941002.1	1,47041191472145
Niben261Chr08g0409022.1	1,20816624107274
Niben261Chr15g1268002.1	1,25656811727589
Niben261Chr16g0954007.1	-4,51749975661399
Niben261Chr07g1353002.1	1,64832151504625
Niben261Chr08g1346007.1	1,19972705341857
Niben261Chr08g0081008.1	1,20101029674963
Niben261Chr10g0094003.1	1,23597163812203
Niben261Chr07g1011021.1	1,45042147830273
Niben261Chr13g0174005.1	1,49490204575941
Niben261Chr14g1531005.1	1,13349271962942
Niben261Chr10g1172001.1	1,23777217598562
Niben261Scf01681g0000003.1	1,31875498921125
Niben261Chr12g0052010.1	-2,31485832852538
Niben261Chr07g0243011.1	1,06574651658647
Niben261Chr11g0037003.1	1,39691720625159
Niben261Chr03g0023003.1	1,68062746188173
Niben261Chr09g0398007.1	1,05893901253059
Niben261Chr12g0205002.1	1,42403631609544
Niben261Chr02g1347005.1	1,06883968198281
Niben261Chr01g1239019.1	1,12071688468416
Niben261Chr15g0260006.1	-1,5237196323483
Niben261Chr04g1652010.1	1,2295135128898
Niben261Chr17g1143001.1	1,44524836441675
Niben261Chr14g1513052.1	1,51546692964785
Niben261Chr06g0892003.1	1,16394468956951
Niben261Chr08g1070006.1	1,09944276260426
Niben261Chr08g0015003.1	1,27256210994118
Niben261Chr18g0148004.1	0,978707151676408
Niben261Chr04g0053010.1	1,16825530227789
Niben261Chr18g0542009.1	-2,76493191702661
Niben261Chr15g1317002.1	-1,40046307731804
Niben261Chr10g0294011.1	1,73336470670381
Niben261Chr14g1222007.1	2,59131547128338
Niben261Chr04g0175006.1	1,744346462543
Niben261Chr09g1100005.1	1,64459837052842
Niben261Chr13g1031030.1	2,12061902170174
Niben261Chr06g0103011.1	1,98716239529101
Niben261Chr18g0592002.1	1,57077051223084
Niben261Chr11g0954006.1	1,28220397901355
Niben261Chr05g0005008.1	1,0560391424003
Niben261Chr06g0715007.1	1,25196843071132
Niben261Chr14g0031002.1	-1,21423307332046
Niben261Chr07g1477003.1	1,12062487830647
Niben261Chr10g0724001.1	1,4541327361751
Niben261Chr14g1513028.1	-1,18998056451786
Niben261Chr06g0628018.1	1,41842801816764
Niben261Chr01g1839004.1	1,32371173502309
Niben261Chr09g0895004.1	1,83263069465168
Niben261Chr04g0436012.1	1,17310877158894
Niben261Chr12g1073012.1	1,3587621544848
Niben261Chr10g0488001.1	0,991916210095648
Niben261Chr15g0584014.1	1,65852613751769
Niben261Chr16g0015001.1	1,07802612170121
Niben261Chr17g0637003.1	2,47738265248819
Niben261Chr10g0516003.1	-1,24942931857232
Niben261Chr02g0810008.1	-1,56168651102802
Niben261Chr02g1008007.1	1,086922411276
Niben261Chr17g1283002.1	1,50358876167287
Niben261Chr13g0661003.1	1,09574013228011
Niben261Chr18g1353003.1	1,11747492060203
Niben261Chr05g0482004.1	0,964834651764687
Niben261Chr16g0936013.1	-2,2291670715737
Niben261Chr08g0603011.1	1,07597472968192
Niben261Chr04g1664002.1	1,31425402819073
Niben261Chr13g1231008.1	1,92426219118293
Niben261Chr18g0574003.1	1,43458253157433
Niben261Chr07g1145009.1	1,01813219992927
Niben261Chr11g1065002.1	2,25211644406023
Niben261Chr19g0071003.1	1,44768710088903
Niben261Chr15g0603017.1	0,948172492695722
Niben261Chr19g0733002.1	1,35262998907553
Niben261Chr16g1461004.1	1,08586543384714
Niben261Chr01g0205006.1	-0,999442474298801
Niben261Chr06g1142019.1	1,68129170884424
Niben261Chr03g1626009.1	1,37414549596992
Niben261Chr17g1141003.1	1,40082965095273
Niben261Chr08g0613003.1	1,05968295531171
Niben261Chr01g1655009.1	1,30739327805461
Niben261Chr11g0691001.1	0,920235091347307
Niben261Chr17g1257011.1	1,41477484778759
Niben261Chr18g1472006.1	1,03371660551181
Niben261Chr12g0792004.1	0,981266521222629
Niben261Chr02g0341008.1	1,00439406471009
Niben261Chr02g0510011.1	-2,16015315189588
Niben261Chr01g1052002.1	-1,21951439103612
Niben261Chr02g1278005.1	1,15234747912076
Niben261Chr02g0893005.1	1,19795248731041
Niben261Chr07g1387002.1	1,19314987824649
Niben261Chr11g0962006.1	1,10023586972015
Niben261Chr11g0898019.1	1,60927481409761
Niben261Chr03g1794002.1	1,82481459543282
Niben261Chr09g1054019.1	1,36156116195539
Niben261Chr15g1209001.1	-1,75499924635354
Niben261Chr13g0170009.1	1,02514138987391
Niben261Chr06g0515022.1	0,941914946586748
Niben261Chr14g1373007.1	-3,7120399059701
Niben261Chr16g0431004.1	1,4036086436133
Niben261Chr17g0417001.1	1,13261464465735
Niben261Chr02g1090018.1	1,20326484333431
Niben261Chr10g0107008.1	1,41209172441576
Niben261Chr14g0975004.1	0,894170237632249
Niben261Chr18g0770006.1	1,2924651981177
Niben261Chr17g0334003.1	1,12073645016555
Niben261Chr18g0040011.1	-1,27644628368253
Niben261Chr03g0467009.1	1,19104018424049
Niben261Chr09g1311002.1	-1,14599647344727
Niben261Chr05g1246006.1	1,38491945782985
Niben261Chr18g1280004.1	1,19557529844707
Niben261Chr14g0027003.1	1,07139060426464
Niben261Chr01g0894018.1	1,01225941389231
Niben261Chr06g0359004.1	1,12567238742938
Niben261Chr01g1340010.1	5,35549042385164
Niben261Chr04g1397002.1	-1,8247806048431
Niben261Chr17g1420007.1	1,28103258417528
Niben261Chr06g0020010.1	2,03272070088927
Niben261Chr06g0830002.1	1,10680673922036
Niben261Chr04g1001002.1	2,00792700171152
Niben261Chr02g0777003.1	1,46423540703663
Niben261Chr11g1401010.1	1,10078020117713
Niben261Chr10g0035020.1	-1,53543227131136
Niben261Chr10g0262024.1	1,39867549830475
Niben261Chr13g0061001.1	1,04903237157226
Niben261Chr16g0868008.1	1,15597380538748
Niben261Chr05g0472013.1	0,863118414791281
Niben261Chr09g0210009.1	1,23247434853423
Niben261Chr16g0290005.1	0,871280654700496
Niben261Chr16g0250004.1	2,44712141694038
Niben261Chr06g0899007.1	1,33180001084641
Niben261Chr01g1018003.1	1,39440853868756
Niben261Chr03g1806007.1	1,19626232647838
Niben261Chr08g0143016.1	0,981210078055745
