Name	pcrtBDD_vs_GFPDD_filtered
Niben261Chr12g0579007.1	-6,19969737346393
Niben261Chr09g0543002.1	-1,70463912811222
Niben261Chr13g1252003.1	-1,43609635507184
Niben261Chr03g1930011.1	-4,46693546775103
Niben261Chr09g1038015.1	1,85609150553725
Niben261Chr02g0711010.1	-8,63251915988439
Niben261Chr17g0004017.1	-2,2474984564023
Niben261Chr01g0109004.1	1,69694404020723
Niben261Chr03g0487014.1	-0,636104123053957
Niben261Chr08g0193001.1	-5,44559341536075
Niben261Chr07g0946002.1	-2,17105539418319
Niben261Chr05g1135002.1	-1,88688505560345
Niben261Chr06g0443002.1	-1,20641509669048
Niben261Chr01g1363012.1	1,15928473790096
Niben261Chr08g1093014.1	1,23151059053219
Niben261Chr11g0320003.1	-2,38336407089252
Niben261Chr01g1472001.1	1,29197504612709
Niben261Chr17g0064003.1	-2,29762074060111
Niben261Chr05g1184012.1	-1,46206414554367
Niben261Chr08g0181020.1	-1,16631130888939
Niben261Chr04g0062016.1	1,05702515902408
Niben261Chr18g1249005.1	-1,31175422319939
Niben261Chr11g1401007.1	1,62171710644866
Niben261Chr01g1430002.1	-3,79146999871671
Niben261Chr07g0086001.1	1,63356651061974
Niben261Chr14g0911006.1	0,810585351889895
Niben261Chr15g1477001.1	-0,95055496759305
Niben261Chr03g0059002.1	-2,71224436126779
Niben261Chr17g1536002.1	-2,62080408529423
Niben261Chr18g1066021.1	-2,03179735703101
Niben261Chr18g0049001.1	-0,723467049064031
Niben261Chr13g1031030.1	-6,26593579811446
Niben261Chr16g1429012.1	-8,29380463072008
Niben261Chr05g0168014.1	-7,00609770260832
Niben261Chr08g1230006.1	-1,23267984646652
Niben261Chr03g0555003.1	4,08797606457036
Niben261Chr07g0724002.1	-1,01675531869359
Niben261Chr18g0747001.1	-0,876332202502599
Niben261Chr12g0714002.1	-2,0050493756167
Niben261Chr13g1038003.1	0,953013925960111
Niben261Chr14g0478006.1	-1,22285232153247
Niben261Chr07g0372012.1	1,12041871059013
Niben261Chr15g0588008.1	-1,24160835254248
Niben261Chr01g0348004.1	1,87277296557336
Niben261Chr04g1894003.1	-5,92937807798123
Niben261Chr04g1643004.1	1,16021919355111
Niben261Chr09g0210009.1	-1,80086098916465
Niben261Chr08g1354016.1	1,0377043952864
Niben261Chr12g0949019.1	-0,812881416113106
Niben261Chr05g1365005.1	0,990331330318199
Niben261Chr11g0375002.1	-2,69270105074014
Niben261Chr19g0927009.1	-2,4726198512313
Niben261Chr06g1366002.1	-1,14979124871041
Niben261Chr09g0497001.1	-0,983376807759207
Niben261Chr04g1539003.1	-4,98788873915006
Niben261Chr07g1027009.1	-1,37528917069753
Niben261Chr18g0639004.1	1,42648147099869
Niben261Chr08g0634013.1	-7,6729188401757
Niben261Chr05g0648005.1	-0,991847112212941
Niben261Chr01g0350004.1	-7,98054195874568
Niben261Chr10g0858018.1	-1,18715376114299
Niben261Chr01g0911003.1	-1,49801744120266
Niben261Chr08g0520018.1	-0,971843874303903
Niben261Chr13g0211018.1	-1,46216013885062
Niben261Chr14g0586007.1	-0,93284835904753
Niben261Chr01g1652004.1	-1,24926247554086
Niben261Chr10g1120003.1	-1,11246067722949
Niben261Chr07g0683004.1	-1,80302115815001
Niben261Chr08g0445003.1	-8,14753822176236
Niben261Chr15g0715003.1	-2,07670516972163
Niben261Chr14g0099003.1	-3,46572972997181
Niben261Chr06g0560019.1	-0,682761668454556
Niben261Chr06g0024009.1	1,84985543870842
