Name	pcrtBYY_vs_GFPYY_filtered
Niben261Chr03g1491011.1	-4,74138243090945
Niben261Chr12g0008007.1	-5,27390596008566
Niben261Chr07g0378012.1	-5,17076536290522
Niben261Chr04g1789009.1	-4,6058701921041
Niben261Chr07g0378013.1	-5,7242186166125
Niben261Chr14g0950012.1	-4,67105076709503
Niben261Chr13g1031030.1	-5,62990086633586
Niben261Chr08g0455007.1	-5,50801668711802
Niben261Chr13g0649001.1	-2,19638098999619
Niben261Chr08g0455001.1	-5,32657614742841
eGFP:mRNA	-3,41247369265243
Niben261Chr14g0208010.1	-6,0948168166248
Niben261Chr11g1361010.1	-5,60171591073988
Niben261Chr13g0686007.1	-3,8375416708802
Niben261Chr13g1166005.1	-2,52171634231323
Niben261Chr10g1108005.1	-5,11227179398738
Niben261Chr14g0807016.1	-1,72873110337522
Niben261Chr10g0540006.1	-6,27054764972976
Niben261Chr06g0506008.1	-4,56108850283678
Niben261Chr01g1430002.1	-5,2416952985353
Niben261Chr08g0933002.1	-2,28556936888099
Niben261Chr08g1252001.1	-6,71898882131278
Niben261Chr18g1066021.1	-1,66035071925144
Niben261Chr15g1457008.1	-6,77349828837128
Niben261Chr01g0894018.1	-1,68671472061491
Niben261Chr18g0944002.1	-4,75907808508109
Niben261Chr01g1134008.1	-4,21361617801501
Niben261Chr18g1227005.1	-2,05239199990581
Niben261Chr06g1031019.1	-2,18898442731325
Niben261Chr07g1035001.1	-4,98933130688532
Niben261Chr14g0431002.1	-1,95981982314657
Niben261Chr07g0378025.1	-5,63323881121688
Niben261Chr12g1569022.1	-4,98636153002783
Niben261Chr10g0286014.1	-2,56199166124066
Niben261Chr13g1031007.1	-5,46993381423157
Niben261Chr15g1003001.1	-2,4551060183846
Niben261Chr04g1635011.1	-1,36621707012952
Niben261Chr02g0561009.1	-2,26518816066671
Niben261Chr16g0915012.1	-3,17120545043839
Niben261Chr04g0107026.1	-1,31854489408138
Niben261Chr17g1283002.1	-2,36819341317911
Niben261Chr15g0613010.1	-1,67051335568486
PaancrtB:mRNA	7,49659611504065
Niben261Chr04g1093007.1	-1,82906430378895
Niben261Chr11g1389005.1	-3,78436072310091
Niben261Chr04g1664002.1	-1,84385683390294
Niben261Chr03g0273006.1	-2,1246076768932
Niben261Chr16g1185001.1	-1,26909549326809
Niben261Chr11g0949004.1	-1,99165192407151
Niben261Chr15g1142001.1	-3,36514249510297
Niben261Chr16g1258002.1	4,73731997260493
Niben261Chr09g0210009.1	-1,92111273812088
Niben261Chr03g0183006.1	-1,1501047880147
Niben261Chr13g1252003.1	-1,3558188061846
Niben261Chr01g1152002.1	-1,36300382629235
Niben261Chr03g0121001.1	-1,39506451979976
Niben261Chr13g1261011.1	-1,39921044830429
Niben261Chr12g0257004.1	-1,60458771721142
Niben261Chr14g0621005.1	-3,46877712026997
Niben261Chr01g0495008.1	-0,998967223343979
Niben261Chr16g0430012.1	4,94690806537452
Niben261Chr11g0029011.1	-1,77144759266919
Niben261Chr14g0135012.1	-1,67826116658133
Niben261Chr11g0688007.1	-1,17193438156694
Niben261Chr03g1081001.1	-1,83414562600784
Niben261Chr14g0544012.1	-1,26556808000547
Niben261Chr02g0155007.1	-1,99406967843835
Niben261Chr03g1491010.1	-3,39194800441811
Niben261Chr02g0774004.1	-3,58767912874148
Niben261Chr01g1080014.1	-1,847703958809
Niben261Chr06g0433008.1	4,26516850991071
Niben261Chr15g0265007.1	-2,98009940568803
Niben261Chr17g1291020.1	-2,49847036289958
Niben261Chr01g1238008.1	-1,85613581321057
Niben261Chr17g0115007.1	7,81822836010387
Niben261Chr02g0092006.1	1,75862261532223
Niben261Chr02g0919011.1	-5,277178822207
Niben261Chr16g0933001.1	-1,87313355661027
Niben261Chr03g0016006.1	-1,49039434618001
Niben261Chr12g0284004.1	-1,40713818620147
Niben261Chr12g0148003.1	-1,29291757177621
Niben261Chr01g0460004.1	-1,45633420913832
Niben261Chr04g0406001.1	-6,34573946576651
Niben261Chr16g0588007.1	-5,91114869062036
Niben261Chr12g0293002.1	-1,83969617406636
Niben261Chr16g1420015.1	-1,08141373337973
Niben261Chr11g1394002.1	-3,11979350546512
Niben261Chr14g0976002.1	-1,08985379965242
Niben261Chr07g0159002.1	-7,12025356620994
Niben261Chr02g0148001.1	-1,69681091991891
Niben261Chr18g0858015.1	-3,20055748433787
Niben261Chr06g0368012.1	-5,00886681194566
Niben261Chr13g1250002.1	-8,06943496920454
Niben261Chr06g0903016.1	-1,54040019911212
Niben261Chr16g0299002.1	-2,12862576875245
Niben261Chr14g0436005.1	-5,28912652177952
Niben261Chr10g0377012.1	5,15136931687472
Niben261Scf15903g0000001.1	-6,89114407489163
Niben261Chr06g0561011.1	-1,37090420361348
Niben261Chr13g0084008.1	2,2266238262948
Niben261Chr03g1930011.1	-2,57318593024107
Niben261Chr03g1081002.1	-3,30867523161149
Niben261Chr02g0315004.1	3,84117475299731
Niben261Chr08g0169014.1	-2,30779136573087
Niben261Chr15g1380006.1	-1,25529021480649
Niben261Chr07g1029002.1	-1,83528054363475
Niben261Chr11g0963001.1	1,58489661067763
Niben261Chr07g1118002.1	4,00562402237465
Niben261Chr12g0605007.1	-3,02349601418891
Niben261Chr11g1394015.1	-1,35791188960715
Niben261Chr10g0232005.1	-1,5034424468256
Niben261Chr01g1688002.1	-1,41013571777816
Niben261Chr13g0585004.1	-2,1385898717132
Niben261Chr02g0789009.1	-2,48330894767207
Niben261Chr07g1020004.1	-3,15029411604558
Niben261Chr13g1429005.1	-2,72997258342456
Niben261Chr03g0023040.1	-2,29823824163019
Niben261Chr16g0519016.1	-1,14977399349003
Niben261Chr05g0688002.1	-2,98061639848373
Niben261Chr05g1238006.1	-1,57550574445373
Niben261Chr06g0899007.1	-0,981338448410693
Niben261Chr15g0661009.1	2,85994557269915
Niben261Chr19g0546001.1	-2,26166856018736
Niben261Chr11g1101001.1	1,07111143876517
Niben261Chr08g0161029.1	-1,86491397190997
Niben261Chr08g0481015.1	-2,32088416635051
Niben261Chr07g1305014.1	-2,56182422907267
Niben261Chr07g0480003.1	-1,73938783675033
Niben261Chr16g0434017.1	-3,22984335067326
Niben261Chr09g1113002.1	-1,9636284579127
Niben261Chr04g0615001.1	-7,70362252508694
Niben261Chr09g1220002.1	-2,4901932708524
Niben261Chr07g1158009.1	-7,58451714117307
Niben261Chr08g0017019.1	-3,49770766327041
Niben261Chr16g1270001.1	-7,56337943154253
Niben261Chr09g1169009.1	2,90552657890067
Niben261Chr09g0776019.1	-2,03557710003187
Niben261Chr04g0551001.1	-1,06173269994985
Niben261Chr14g0974005.1	-1,22334624967651
Niben261Chr14g0586007.1	-0,982733153249454
Niben261Chr12g0843011.1	2,27409192445547
Niben261Chr08g0466006.1	2,47878604490722
Niben261Chr16g1183012.1	-1,46720958240933
Niben261Chr07g0656003.1	1,10755054772932
Niben261Chr16g0457012.1	1,69116094328968
Niben261Chr13g0959002.1	-2,83668307977329
Niben261Chr06g0095051.1	-3,72983026551697
Niben261Chr12g0883009.1	-1,45258730649076
Niben261Chr13g0063032.1	-2,05058659576599
Niben261Chr01g1439001.1	-1,30194215690871
Niben261Chr07g0054006.1	2,9687104582192
Niben261Chr17g0244002.1	-1,15628034909099
Niben261Chr10g0348005.1	-3,35385403853115
Niben261Chr10g0858018.1	-0,986082607761279
Niben261Chr07g0378026.1	-5,10988687659143
Niben261Chr09g0872017.1	-2,05809523343028
Niben261Chr15g1524003.1	-2,08376586266778
Niben261Chr17g0161003.1	-3,45448281286913
Niben261Chr12g1569020.1	-3,35367504560293
Niben261Chr10g1008010.1	-2,27057490189316
Niben261Chr15g1514008.1	0,975227112524011
Niben261Chr04g1336004.1	7,28540583030236
Niben261Chr13g0726008.1	-1,0374932983843
Niben261Chr11g0350010.1	-1,03894363301002
Niben261Chr06g1114007.1	-1,97041614602426
Niben261Scf01441g0000001.1	-2,21000263649999
Niben261Chr04g0266004.1	-1,06052490923625
Niben261Chr12g1127003.1	3,4859966220498
Niben261Chr06g1257019.1	-2,24739393366023
Niben261Chr16g0755002.1	0,757390802173741
Niben261Chr02g0552001.1	1,42135221749586
Niben261Chr04g1336006.1	4,58186748890261
Niben261Chr06g1087003.1	-2,14661803440555
Niben261Chr06g0699001.1	-2,22906769262026
Niben261Chr10g1199005.1	1,832744231109
Niben261Chr18g1388003.1	-1,02765006020456
Niben261Chr06g1363022.1	3,50436975850732
Niben261Chr17g1223001.1	-2,42299563842321
Niben261Chr14g1192003.1	-1,40920838638094
Niben261Chr05g1347001.1	-2,19176170031867
Niben261Chr19g0988021.1	1,1838804548055
Niben261Chr11g1055001.1	-2,57269091433275
Niben261Chr08g0313002.1	4,91347500145105
Niben261Chr04g1136003.1	-1,39819904543908
Niben261Chr10g0377002.1	5,3354153126389
Niben261Chr01g0091006.1	-1,47094788141398
Niben261Chr06g0068005.1	4,38954767599737
Niben261Chr10g0553001.1	-1,68880414314455
Niben261Chr13g1197002.1	7,63662886698109
Niben261Chr03g0212011.1	-1,42582810048335
Niben261Chr02g0458008.1	-2,66053086919871
Niben261Chr14g0807008.1	-1,4794674636317
Niben261Chr04g0235002.1	1,22327667405062
Niben261Chr14g1502009.1	-1,1106549591925
Niben261Chr02g0878007.1	-2,04880131434228
Niben261Chr11g1077004.1	-1,73993663728393
Niben261Chr12g0226001.1	-1,14300063379268
Niben261Chr16g1429013.1	-6,74439725233652
Niben261Chr11g1310006.1	-2,23681455034893
Niben261Chr02g0347021.1	-2,07091828782989
